"","X","Participant","Word","likert_arousal","likert_valence","StudyLanguage","Nativeness"
"1",1,26,"pigra",3,4,"Italian","L1"
"2",2,26,"tesoro",5,6,"Italian","L1"
"3",3,26,"cattivo",2,2,"Italian","L1"
"4",4,26,"demone",4,1,"Italian","L1"
"5",5,26,"stronzo",5,1,"Italian","L1"
"6",6,26,"osceno",4,3,"Italian","L1"
"7",7,26,"saggia",2,6,"Italian","L1"
"8",8,26,"crudele",4,2,"Italian","L1"
"9",9,26,"gentile",2,7,"Italian","L1"
"10",10,26,"riservata",4,5,"Italian","L1"
"11",11,26,"buono",5,8,"Italian","L1"
"12",12,26,"cauta",5,5,"Italian","L1"
"13",13,26,"bugiarda",4,3,"Italian","L1"
"14",14,26,"indiscreta",6,4,"Italian","L1"
"15",15,26,"leale",5,6,"Italian","L1"
"16",16,26,"elegante",6,8,"Italian","L1"
"17",17,26,"inaffidabile",5,3,"Italian","L1"
"18",18,26,"meschina",5,3,"Italian","L1"
"19",19,26,"negativo",6,1,"Italian","L1"
"20",20,26,"positivo",5,9,"Italian","L1"
"21",21,26,"affidabile",6,7,"Italian","L1"
"22",22,26,"sleale",4,2,"Italian","L1"
"23",23,26,"paziente",1,6,"Italian","L1"
"24",24,26,"santo",7,6,"Italian","L1"
"25",25,26,"scortese",5,2,"Italian","L1"
"26",26,26,"scrupolosa",5,4,"Italian","L1"
"27",27,130,"tesoro",7,7,"Italian","L1"
"28",28,130,"inaffidabile",3,2,"Italian","L1"
"29",29,130,"meschina",6,8,"Italian","L1"
"30",30,130,"crudele",3,2,"Italian","L1"
"31",31,130,"sleale",3,3,"Italian","L1"
"32",32,130,"affidabile",5,8,"Italian","L1"
"33",33,130,"scortese",2,1,"Italian","L1"
"34",34,130,"saggia",3,8,"Italian","L1"
"35",35,130,"negativo",1,3,"Italian","L1"
"36",36,130,"gentile",4,6,"Italian","L1"
"37",37,130,"elegante",3,7,"Italian","L1"
"38",38,130,"demone",3,3,"Italian","L1"
"39",39,130,"buono",2,5,"Italian","L1"
"40",40,130,"indiscreta",4,2,"Italian","L1"
"41",41,130,"pigra",6,2,"Italian","L1"
"42",42,130,"positivo",7,7,"Italian","L1"
"43",43,130,"cattivo",3,3,"Italian","L1"
"44",44,130,"stronzo",5,2,"Italian","L1"
"45",45,130,"leale",5,7,"Italian","L1"
"46",46,130,"riservata",2,5,"Italian","L1"
"47",47,130,"scrupolosa",1,4,"Italian","L1"
"48",48,130,"santo",3,6,"Italian","L1"
"49",49,130,"paziente",1,7,"Italian","L1"
"50",50,130,"osceno",5,2,"Italian","L1"
"51",51,130,"cauta",1,5,"Italian","L1"
"52",52,130,"bugiarda",5,1,"Italian","L1"
"53",53,85,"riservata",1,9,"Italian","L1"
"54",54,85,"stronzo",5,1,"Italian","L1"
"55",55,85,"negativo",5,1,"Italian","L1"
"56",56,85,"elegante",7,9,"Italian","L1"
"57",57,85,"santo",1,9,"Italian","L1"
"58",58,85,"demone",5,1,"Italian","L1"
"59",59,85,"tesoro",9,9,"Italian","L1"
"60",60,85,"crudele",5,1,"Italian","L1"
"61",61,85,"sleale",5,1,"Italian","L1"
"62",62,85,"cauta",5,5,"Italian","L1"
"63",63,85,"positivo",9,9,"Italian","L1"
"64",64,85,"cattivo",5,1,"Italian","L1"
"65",65,85,"leale",9,9,"Italian","L1"
"66",66,85,"scrupolosa",1,8,"Italian","L1"
"67",67,85,"meschina",5,1,"Italian","L1"
"68",68,85,"inaffidabile",5,1,"Italian","L1"
"69",69,85,"affidabile",9,9,"Italian","L1"
"70",70,85,"scortese",5,1,"Italian","L1"
"71",71,85,"saggia",1,9,"Italian","L1"
"72",72,85,"buono",9,9,"Italian","L1"
"73",73,85,"indiscreta",5,5,"Italian","L1"
"74",74,85,"paziente",1,9,"Italian","L1"
"75",75,85,"gentile",1,9,"Italian","L1"
"76",76,85,"bugiarda",5,1,"Italian","L1"
"77",77,85,"pigra",5,1,"Italian","L1"
"78",78,85,"osceno",5,1,"Italian","L1"
"79",79,57,"saggia",3,7,"Italian","L1"
"80",80,57,"osceno",8,3,"Italian","L1"
"81",81,57,"leale",4,7,"Italian","L1"
"82",82,57,"gentile",3,7,"Italian","L1"
"83",83,57,"paziente",1,6,"Italian","L1"
"84",84,57,"scortese",6,1,"Italian","L1"
"85",85,57,"tesoro",5,9,"Italian","L1"
"86",86,57,"negativo",5,1,"Italian","L1"
"87",87,57,"buono",6,6,"Italian","L1"
"88",88,57,"indiscreta",5,4,"Italian","L1"
"89",89,57,"meschina",5,1,"Italian","L1"
"90",90,57,"affidabile",5,9,"Italian","L1"
"91",91,57,"positivo",8,9,"Italian","L1"
"92",92,57,"sleale",5,1,"Italian","L1"
"93",93,57,"inaffidabile",5,1,"Italian","L1"
"94",94,57,"cattivo",5,1,"Italian","L1"
"95",95,57,"santo",5,5,"Italian","L1"
"96",96,57,"pigra",1,5,"Italian","L1"
"97",97,57,"cauta",1,5,"Italian","L1"
"98",98,57,"crudele",5,1,"Italian","L1"
"99",99,57,"riservata",3,6,"Italian","L1"
"100",100,57,"elegante",2,7,"Italian","L1"
"101",101,57,"scrupolosa",5,5,"Italian","L1"
"102",102,57,"demone",8,1,"Italian","L1"
"103",103,57,"stronzo",5,5,"Italian","L1"
"104",104,57,"bugiarda",5,1,"Italian","L1"
"105",131,135,"elegante",2,8,"Italian","L1"
"106",132,135,"gentile",2,9,"Italian","L1"
"107",133,135,"negativo",4,2,"Italian","L1"
"108",134,135,"santo",1,5,"Italian","L1"
"109",135,135,"scrupolosa",5,4,"Italian","L1"
"110",136,135,"meschina",4,2,"Italian","L1"
"111",137,135,"riservata",1,9,"Italian","L1"
"112",138,135,"leale",5,9,"Italian","L1"
"113",139,135,"indiscreta",6,3,"Italian","L1"
"114",140,135,"saggia",6,7,"Italian","L1"
"115",141,135,"cauta",3,7,"Italian","L1"
"116",142,135,"scortese",5,1,"Italian","L1"
"117",143,135,"paziente",2,7,"Italian","L1"
"118",144,135,"cattivo",4,1,"Italian","L1"
"119",145,135,"demone",4,1,"Italian","L1"
"120",146,135,"bugiarda",6,1,"Italian","L1"
"121",147,135,"affidabile",7,9,"Italian","L1"
"122",148,135,"osceno",4,1,"Italian","L1"
"123",149,135,"tesoro",6,9,"Italian","L1"
"124",150,135,"crudele",4,2,"Italian","L1"
"125",151,135,"sleale",8,2,"Italian","L1"
"126",152,135,"positivo",6,9,"Italian","L1"
"127",153,135,"stronzo",3,1,"Italian","L1"
"128",154,135,"inaffidabile",6,1,"Italian","L1"
"129",155,135,"buono",6,9,"Italian","L1"
"130",156,135,"pigra",3,3,"Italian","L1"
"131",183,46,"stronzo",6,2,"Italian","L1"
"132",184,46,"santo",3,6,"Italian","L1"
"133",185,46,"paziente",1,6,"Italian","L1"
"134",186,46,"crudele",7,1,"Italian","L1"
"135",187,46,"riservata",5,5,"Italian","L1"
"136",188,46,"bugiarda",6,2,"Italian","L1"
"137",189,46,"scrupolosa",6,5,"Italian","L1"
"138",190,46,"inaffidabile",6,2,"Italian","L1"
"139",191,46,"osceno",5,5,"Italian","L1"
"140",192,46,"cauta",7,4,"Italian","L1"
"141",193,46,"gentile",3,7,"Italian","L1"
"142",194,46,"cattivo",7,3,"Italian","L1"
"143",195,46,"positivo",5,7,"Italian","L1"
"144",196,46,"sleale",6,3,"Italian","L1"
"145",197,46,"leale",3,6,"Italian","L1"
"146",198,46,"scortese",6,3,"Italian","L1"
"147",199,46,"meschina",5,3,"Italian","L1"
"148",200,46,"demone",7,2,"Italian","L1"
"149",201,46,"negativo",4,3,"Italian","L1"
"150",202,46,"elegante",3,6,"Italian","L1"
"151",203,46,"indiscreta",5,4,"Italian","L1"
"152",204,46,"tesoro",3,7,"Italian","L1"
"153",205,46,"pigra",4,3,"Italian","L1"
"154",206,46,"saggia",1,6,"Italian","L1"
"155",207,46,"affidabile",1,6,"Italian","L1"
"156",208,46,"buono",2,6,"Italian","L1"
"157",209,126,"elegante",4,7,"Italian","L1"
"158",210,126,"paziente",1,7,"Italian","L1"
"159",211,126,"meschina",8,2,"Italian","L1"
"160",212,126,"leale",1,5,"Italian","L1"
"161",213,126,"scortese",8,1,"Italian","L1"
"162",214,126,"bugiarda",9,1,"Italian","L1"
"163",215,126,"gentile",2,7,"Italian","L1"
"164",216,126,"osceno",8,1,"Italian","L1"
"165",217,126,"riservata",2,5,"Italian","L1"
"166",218,126,"crudele",9,1,"Italian","L1"
"167",219,126,"positivo",5,7,"Italian","L1"
"168",220,126,"indiscreta",5,5,"Italian","L1"
"169",221,126,"negativo",6,1,"Italian","L1"
"170",222,126,"sleale",8,1,"Italian","L1"
"171",223,126,"cattivo",7,1,"Italian","L1"
"172",224,126,"demone",9,1,"Italian","L1"
"173",225,126,"stronzo",9,1,"Italian","L1"
"174",226,126,"cauta",6,3,"Italian","L1"
"175",227,126,"santo",5,7,"Italian","L1"
"176",228,126,"pigra",5,1,"Italian","L1"
"177",229,126,"scrupolosa",5,3,"Italian","L1"
"178",230,126,"tesoro",9,9,"Italian","L1"
"179",231,126,"buono",6,9,"Italian","L1"
"180",232,126,"inaffidabile",6,2,"Italian","L1"
"181",233,126,"saggia",3,7,"Italian","L1"
"182",234,126,"affidabile",2,7,"Italian","L1"
"183",235,190,"buono",7,7,"Italian","L1"
"184",236,190,"pigra",4,5,"Italian","L1"
"185",237,190,"tesoro",6,7,"Italian","L1"
"186",238,190,"demone",3,1,"Italian","L1"
"187",239,190,"elegante",9,9,"Italian","L1"
"188",240,190,"inaffidabile",5,4,"Italian","L1"
"189",241,190,"scortese",3,2,"Italian","L1"
"190",242,190,"riservata",5,2,"Italian","L1"
"191",243,190,"meschina",3,1,"Italian","L1"
"192",244,190,"cauta",5,5,"Italian","L1"
"193",245,190,"saggia",9,8,"Italian","L1"
"194",246,190,"leale",9,9,"Italian","L1"
"195",247,190,"paziente",7,8,"Italian","L1"
"196",248,190,"crudele",3,2,"Italian","L1"
"197",249,190,"osceno",2,1,"Italian","L1"
"198",250,190,"sleale",4,2,"Italian","L1"
