"","X","Participant","Word","likert_arousal","likert_valence","StudyLanguage","Nativeness"
"199",251,190,"indiscreta",5,5,"Italian","L1"
"200",252,190,"positivo",9,8,"Italian","L1"
"201",253,190,"bugiarda",1,1,"Italian","L1"
"202",254,190,"negativo",3,2,"Italian","L1"
"203",255,190,"stronzo",1,1,"Italian","L1"
"204",256,190,"scrupolosa",5,5,"Italian","L1"
"205",257,190,"cattivo",4,2,"Italian","L1"
"206",258,190,"gentile",7,6,"Italian","L1"
"207",259,190,"santo",4,4,"Italian","L1"
"208",260,190,"affidabile",9,8,"Italian","L1"
"209",261,38,"scortese",4,1,"Italian","L1"
"210",262,38,"paziente",5,8,"Italian","L1"
"211",263,38,"sleale",3,1,"Italian","L1"
"212",264,38,"inaffidabile",2,1,"Italian","L1"
"213",265,38,"meschina",5,1,"Italian","L1"
"214",266,38,"cauta",5,5,"Italian","L1"
"215",267,38,"positivo",6,9,"Italian","L1"
"216",268,38,"buono",6,9,"Italian","L1"
"217",269,38,"negativo",4,1,"Italian","L1"
"218",270,38,"osceno",4,1,"Italian","L1"
"219",271,38,"pigra",2,1,"Italian","L1"
"220",272,38,"cattivo",6,1,"Italian","L1"
"221",273,38,"crudele",8,1,"Italian","L1"
"222",274,38,"bugiarda",6,1,"Italian","L1"
"223",275,38,"stronzo",8,1,"Italian","L1"
"224",276,38,"affidabile",6,9,"Italian","L1"
"225",277,38,"tesoro",9,9,"Italian","L1"
"226",278,38,"elegante",4,7,"Italian","L1"
"227",279,38,"gentile",5,9,"Italian","L1"
"228",280,38,"leale",3,9,"Italian","L1"
"229",281,38,"scrupolosa",5,5,"Italian","L1"
"230",282,38,"santo",4,5,"Italian","L1"
"231",283,38,"indiscreta",3,5,"Italian","L1"
"232",284,38,"demone",6,1,"Italian","L1"
"233",285,38,"saggia",1,9,"Italian","L1"
"234",286,38,"riservata",2,9,"Italian","L1"
"235",287,33,"cauta",3,5,"Italian","L1"
"236",288,33,"saggia",3,7,"Italian","L1"
"237",289,33,"bugiarda",7,2,"Italian","L1"
"238",290,33,"riservata",2,5,"Italian","L1"
"239",291,33,"buono",4,8,"Italian","L1"
"240",292,33,"elegante",4,7,"Italian","L1"
"241",293,33,"paziente",2,7,"Italian","L1"
"242",294,33,"inaffidabile",6,2,"Italian","L1"
"243",295,33,"demone",7,3,"Italian","L1"
"244",296,33,"gentile",3,8,"Italian","L1"
"245",297,33,"scortese",6,2,"Italian","L1"
"246",298,33,"sleale",7,2,"Italian","L1"
"247",299,33,"tesoro",5,8,"Italian","L1"
"248",300,33,"scrupolosa",3,7,"Italian","L1"
"249",301,33,"cattivo",6,1,"Italian","L1"
"250",302,33,"osceno",7,2,"Italian","L1"
"251",303,33,"pigra",4,3,"Italian","L1"
"252",304,33,"affidabile",3,8,"Italian","L1"
"253",305,33,"indiscreta",5,3,"Italian","L1"
"254",306,33,"leale",3,8,"Italian","L1"
"255",307,33,"meschina",5,3,"Italian","L1"
"256",308,33,"positivo",4,8,"Italian","L1"
"257",309,33,"crudele",8,1,"Italian","L1"
"258",310,33,"santo",4,7,"Italian","L1"
"259",311,33,"negativo",5,2,"Italian","L1"
"260",312,33,"stronzo",8,1,"Italian","L1"
"261",417,181,"scortese",9,9,"Italian","L1"
"262",418,181,"meschina",5,2,"Italian","L1"
"263",419,181,"tesoro",9,9,"Italian","L1"
"264",420,181,"crudele",5,1,"Italian","L1"
"265",421,181,"osceno",5,5,"Italian","L1"
"266",422,181,"affidabile",1,9,"Italian","L1"
"267",423,181,"stronzo",5,1,"Italian","L1"
"268",424,181,"cauta",5,5,"Italian","L1"
"269",425,181,"gentile",5,3,"Italian","L1"
"270",426,181,"demone",5,1,"Italian","L1"
"271",427,181,"indiscreta",5,5,"Italian","L1"
"272",428,181,"sleale",4,1,"Italian","L1"
"273",429,181,"riservata",6,7,"Italian","L1"
"274",430,181,"inaffidabile",4,2,"Italian","L1"
"275",431,181,"buono",9,9,"Italian","L1"
"276",432,181,"bugiarda",5,1,"Italian","L1"
"277",433,181,"leale",8,9,"Italian","L1"
"278",434,181,"elegante",7,9,"Italian","L1"
"279",435,181,"paziente",1,9,"Italian","L1"
"280",436,181,"cattivo",5,1,"Italian","L1"
"281",437,181,"scrupolosa",5,5,"Italian","L1"
"282",438,181,"positivo",5,9,"Italian","L1"
"283",439,181,"negativo",5,1,"Italian","L1"
"284",440,181,"saggia",5,9,"Italian","L1"
"285",441,181,"santo",5,7,"Italian","L1"
"286",442,181,"pigra",4,5,"Italian","L1"
"287",495,96,"buono",7,9,"Italian","L1"
"288",496,96,"osceno",4,4,"Italian","L1"
"289",497,96,"riservata",3,7,"Italian","L1"
"290",498,96,"negativo",2,2,"Italian","L1"
"291",499,96,"paziente",3,7,"Italian","L1"
"292",500,96,"meschina",3,3,"Italian","L1"
"293",501,96,"scrupolosa",6,4,"Italian","L1"
"294",502,96,"stronzo",4,3,"Italian","L1"
"295",503,96,"affidabile",7,7,"Italian","L1"
"296",504,96,"tesoro",9,9,"Italian","L1"
"297",505,96,"indiscreta",4,3,"Italian","L1"
"298",506,96,"bugiarda",5,4,"Italian","L1"
"299",507,96,"elegante",7,9,"Italian","L1"
"300",508,96,"positivo",5,8,"Italian","L1"
"301",509,96,"demone",3,2,"Italian","L1"
"302",510,96,"pigra",2,1,"Italian","L1"
"303",511,96,"inaffidabile",3,2,"Italian","L1"
"304",512,96,"gentile",5,8,"Italian","L1"
"305",513,96,"santo",6,8,"Italian","L1"
"306",514,96,"scortese",3,2,"Italian","L1"
"307",515,96,"cattivo",3,3,"Italian","L1"
"308",516,96,"leale",6,8,"Italian","L1"
"309",517,96,"cauta",5,6,"Italian","L1"
"310",518,96,"sleale",3,3,"Italian","L1"
"311",519,96,"saggia",4,4,"Italian","L1"
"312",520,96,"crudele",3,3,"Italian","L1"
"313",573,84,"buono",3,7,"Italian","L1"
"314",574,84,"bugiarda",7,2,"Italian","L1"
"315",575,84,"sleale",7,2,"Italian","L1"
"316",576,84,"osceno",8,2,"Italian","L1"
"317",577,84,"negativo",8,1,"Italian","L1"
"318",578,84,"affidabile",5,7,"Italian","L1"
"319",579,84,"scrupolosa",6,3,"Italian","L1"
"320",580,84,"saggia",5,7,"Italian","L1"
"321",581,84,"cauta",2,7,"Italian","L1"
"322",582,84,"indiscreta",9,2,"Italian","L1"
"323",583,84,"stronzo",9,2,"Italian","L1"
"324",584,84,"elegante",5,9,"Italian","L1"
"325",585,84,"positivo",9,9,"Italian","L1"
"326",586,84,"santo",1,6,"Italian","L1"
"327",587,84,"inaffidabile",6,3,"Italian","L1"
"328",588,84,"pigra",7,2,"Italian","L1"
"329",589,84,"tesoro",9,9,"Italian","L1"
"330",590,84,"meschina",8,2,"Italian","L1"
"331",591,84,"demone",9,2,"Italian","L1"
"332",592,84,"crudele",8,2,"Italian","L1"
"333",593,84,"scortese",9,2,"Italian","L1"
"334",594,84,"leale",5,8,"Italian","L1"
"335",595,84,"paziente",3,9,"Italian","L1"
"336",596,84,"gentile",5,9,"Italian","L1"
"337",597,84,"cattivo",8,1,"Italian","L1"
"338",598,84,"riservata",5,6,"Italian","L1"
"339",625,1,"sleale",4,3,"Italian","L1"
"340",626,1,"demone",7,6,"Italian","L1"
"341",627,1,"indiscreta",5,4,"Italian","L1"
"342",628,1,"scrupolosa",7,5,"Italian","L1"
"343",629,1,"meschina",7,5,"Italian","L1"
"344",630,1,"cattivo",4,3,"Italian","L1"
"345",631,1,"crudele",7,5,"Italian","L1"
"346",632,1,"affidabile",7,8,"Italian","L1"
"347",633,1,"saggia",7,5,"Italian","L1"
"348",634,1,"positivo",6,6,"Italian","L1"
"349",635,1,"inaffidabile",6,2,"Italian","L1"
"350",636,1,"negativo",7,5,"Italian","L1"
"351",637,1,"santo",7,4,"Italian","L1"
"352",638,1,"elegante",7,5,"Italian","L1"
"353",639,1,"osceno",7,5,"Italian","L1"
"354",640,1,"buono",7,6,"Italian","L1"
"355",641,1,"stronzo",7,5,"Italian","L1"
"356",642,1,"riservata",6,4,"Italian","L1"
"357",643,1,"gentile",7,4,"Italian","L1"
"358",644,1,"bugiarda",3,2,"Italian","L1"
"359",645,1,"paziente",6,6,"Italian","L1"
"360",646,1,"scortese",7,5,"Italian","L1"
"361",647,1,"leale",7,4,"Italian","L1"
"362",648,1,"tesoro",7,5,"Italian","L1"
"363",649,1,"pigra",7,5,"Italian","L1"
"364",650,1,"cauta",7,5,"Italian","L1"
"365",651,171,"meschina",3,1,"Italian","L1"
"366",652,171,"cattivo",6,1,"Italian","L1"
"367",653,171,"tesoro",4,8,"Italian","L1"
"368",654,171,"gentile",4,8,"Italian","L1"
"369",655,171,"leale",4,8,"Italian","L1"
"370",656,171,"paziente",3,7,"Italian","L1"
"371",657,171,"scortese",7,2,"Italian","L1"
"372",658,171,"crudele",8,1,"Italian","L1"
"373",659,171,"cauta",3,6,"Italian","L1"
"374",660,171,"saggia",3,8,"Italian","L1"
"375",661,171,"scrupolosa",4,7,"Italian","L1"
"376",662,171,"osceno",8,1,"Italian","L1"
"377",663,171,"pigra",3,3,"Italian","L1"
"378",664,171,"riservata",3,6,"Italian","L1"
"379",665,171,"affidabile",4,8,"Italian","L1"
"380",666,171,"indiscreta",8,3,"Italian","L1"
"381",667,171,"bugiarda",6,2,"Italian","L1"
"382",668,171,"negativo",5,2,"Italian","L1"
"383",669,171,"inaffidabile",6,1,"Italian","L1"
"384",670,171,"positivo",5,9,"Italian","L1"
"385",671,171,"sleale",7,2,"Italian","L1"
"386",672,171,"stronzo",8,1,"Italian","L1"
"387",673,171,"santo",3,9,"Italian","L1"
"388",674,171,"buono",5,9,"Italian","L1"
"389",675,171,"demone",8,2,"Italian","L1"
"390",676,171,"elegante",4,8,"Italian","L1"
"391",703,100,"gentile",7,7,"Italian","L1"
"392",704,100,"inaffidabile",8,2,"Italian","L1"
"393",705,100,"pigra",7,2,"Italian","L1"
"394",706,100,"santo",7,3,"Italian","L1"
"395",707,100,"scortese",6,6,"Italian","L1"
"396",708,100,"cauta",9,3,"Italian","L1"
"397",709,100,"indiscreta",3,2,"Italian","L1"
"398",710,100,"stronzo",6,7,"Italian","L1"
"399",711,100,"elegante",7,2,"Italian","L1"
"400",712,100,"demone",4,6,"Italian","L1"
"401",713,100,"crudele",9,5,"Italian","L1"
"402",714,100,"riservata",4,7,"Italian","L1"
"403",715,100,"paziente",3,6,"Italian","L1"
"404",716,100,"tesoro",6,7,"Italian","L1"
"405",717,100,"positivo",9,3,"Italian","L1"
"406",718,100,"meschina",3,7,"Italian","L1"
"407",719,100,"osceno",3,7,"Italian","L1"
"408",720,100,"affidabile",6,3,"Italian","L1"
"409",721,100,"scrupolosa",9,6,"Italian","L1"
"410",722,100,"bugiarda",6,8,"Italian","L1"
"411",723,100,"cattivo",7,4,"Italian","L1"
"412",724,100,"leale",6,8,"Italian","L1"
"413",725,100,"buono",6,3,"Italian","L1"
"414",726,100,"negativo",9,7,"Italian","L1"
"415",727,100,"saggia",3,7,"Italian","L1"
"416",728,100,"sleale",9,6,"Italian","L1"
"417",755,18,"bugiarda",8,1,"Italian","L1"
"418",756,18,"pigra",6,2,"Italian","L1"
"419",757,18,"tesoro",3,9,"Italian","L1"
"420",758,18,"cattivo",4,2,"Italian","L1"
"421",759,18,"gentile",2,9,"Italian","L1"
"422",760,18,"scortese",7,1,"Italian","L1"
"423",761,18,"osceno",6,2,"Italian","L1"
"424",762,18,"stronzo",7,1,"Italian","L1"
"425",763,18,"santo",1,9,"Italian","L1"
"426",764,18,"riservata",1,6,"Italian","L1"
"427",765,18,"negativo",5,1,"Italian","L1"
"428",766,18,"affidabile",3,9,"Italian","L1"
"429",767,18,"meschina",6,2,"Italian","L1"
"430",768,18,"sleale",6,1,"Italian","L1"
"431",769,18,"leale",1,8,"Italian","L1"
"432",770,18,"cauta",9,3,"Italian","L1"
"433",771,18,"buono",5,9,"Italian","L1"
"434",772,18,"paziente",2,7,"Italian","L1"
"435",773,18,"elegante",2,8,"Italian","L1"
"436",774,18,"saggia",3,7,"Italian","L1"
"437",775,18,"scrupolosa",6,6,"Italian","L1"
"438",776,18,"positivo",7,9,"Italian","L1"
"439",777,18,"demone",7,1,"Italian","L1"
"440",778,18,"crudele",5,1,"Italian","L1"
"441",779,18,"inaffidabile",6,1,"Italian","L1"
"442",780,18,"indiscreta",7,1,"Italian","L1"
"443",781,183,"inaffidabile",5,5,"Italian","L1"
"444",782,183,"sleale",5,5,"Italian","L1"
"445",783,183,"leale",5,5,"Italian","L1"
"446",784,183,"paziente",5,5,"Italian","L1"
"447",785,183,"bugiarda",5,6,"Italian","L1"
"448",786,183,"positivo",5,4,"Italian","L1"
"449",787,183,"stronzo",5,5,"Italian","L1"
"450",788,183,"osceno",5,6,"Italian","L1"
"451",789,183,"tesoro",6,5,"Italian","L1"
"452",790,183,"scrupolosa",5,7,"Italian","L1"
"453",791,183,"meschina",5,5,"Italian","L1"
"454",792,183,"demone",5,4,"Italian","L1"
"455",793,183,"cauta",5,4,"Italian","L1"
"456",794,183,"scortese",5,5,"Italian","L1"
"457",795,183,"buono",5,5,"Italian","L1"
"458",796,183,"negativo",5,4,"Italian","L1"
"459",797,183,"pigra",5,4,"Italian","L1"
"460",798,183,"riservata",5,4,"Italian","L1"
"461",799,183,"gentile",5,5,"Italian","L1"
"462",800,183,"elegante",5,5,"Italian","L1"
"463",801,183,"saggia",5,5,"Italian","L1"
"464",802,183,"crudele",5,5,"Italian","L1"
"465",803,183,"affidabile",5,5,"Italian","L1"
"466",804,183,"cattivo",6,5,"Italian","L1"
"467",805,183,"santo",5,5,"Italian","L1"
"468",806,183,"indiscreta",4,4,"Italian","L1"
"469",807,5,"negativo",7,3,"Italian","L1"
"470",808,5,"inaffidabile",7,3,"Italian","L1"
"471",809,5,"cauta",5,4,"Italian","L1"
"472",810,5,"elegante",4,8,"Italian","L1"
"473",811,5,"santo",3,8,"Italian","L1"
"474",812,5,"paziente",3,8,"Italian","L1"
"475",813,5,"pigra",7,3,"Italian","L1"
"476",814,5,"leale",3,8,"Italian","L1"
"477",815,5,"scortese",8,2,"Italian","L1"
"478",816,5,"indiscreta",7,2,"Italian","L1"
"479",817,5,"demone",8,1,"Italian","L1"
"480",818,5,"affidabile",2,8,"Italian","L1"
"481",819,5,"scrupolosa",4,7,"Italian","L1"
"482",820,5,"osceno",9,1,"Italian","L1"
"483",821,5,"crudele",9,1,"Italian","L1"
"484",822,5,"tesoro",7,8,"Italian","L1"
"485",823,5,"gentile",3,7,"Italian","L1"
"486",824,5,"riservata",4,6,"Italian","L1"
"487",825,5,"meschina",7,2,"Italian","L1"
"488",826,5,"bugiarda",7,2,"Italian","L1"
"489",827,5,"stronzo",9,1,"Italian","L1"
"490",828,5,"buono",5,6,"Italian","L1"
"491",829,5,"positivo",6,7,"Italian","L1"
"492",830,5,"cattivo",8,1,"Italian","L1"
"493",831,5,"saggia",4,7,"Italian","L1"
"494",832,5,"sleale",6,3,"Italian","L1"
"495",833,103,"inaffidabile",4,4,"Italian","L1"
"496",834,103,"buono",9,8,"Italian","L1"
"497",835,103,"leale",7,8,"Italian","L1"
"498",836,103,"meschina",5,5,"Italian","L1"
"499",837,103,"demone",2,3,"Italian","L1"
"500",838,103,"crudele",4,4,"Italian","L1"
"501",839,103,"indiscreta",5,5,"Italian","L1"
"502",840,103,"scortese",4,4,"Italian","L1"
"503",841,103,"tesoro",8,9,"Italian","L1"
"504",842,103,"elegante",7,6,"Italian","L1"
"505",843,103,"sleale",5,4,"Italian","L1"
"506",844,103,"stronzo",5,3,"Italian","L1"
"507",845,103,"pigra",5,5,"Italian","L1"
"508",846,103,"santo",7,8,"Italian","L1"
"509",847,103,"affidabile",9,8,"Italian","L1"
"510",848,103,"positivo",9,9,"Italian","L1"
"511",849,103,"bugiarda",5,3,"Italian","L1"
"512",850,103,"scrupolosa",5,5,"Italian","L1"
"513",851,103,"osceno",5,5,"Italian","L1"
"514",852,103,"saggia",4,7,"Italian","L1"
"515",853,103,"cattivo",5,3,"Italian","L1"
"516",854,103,"paziente",5,6,"Italian","L1"
"517",855,103,"gentile",5,5,"Italian","L1"
"518",856,103,"riservata",4,5,"Italian","L1"
"519",857,103,"cauta",5,5,"Italian","L1"
"520",858,103,"negativo",5,2,"Italian","L1"
"521",885,209,"scortese",6,1,"Italian","L1"
"522",886,209,"paziente",4,9,"Italian","L1"
"523",887,209,"cauta",8,6,"Italian","L1"
"524",888,209,"crudele",8,1,"Italian","L1"
"525",889,209,"osceno",7,4,"Italian","L1"
"526",890,209,"affidabile",2,9,"Italian","L1"
"527",891,209,"scrupolosa",6,7,"Italian","L1"
"528",892,209,"pigra",7,3,"Italian","L1"
"529",893,209,"gentile",2,9,"Italian","L1"
"530",894,209,"sleale",9,1,"Italian","L1"
"531",895,209,"santo",3,6,"Italian","L1"
"532",896,209,"leale",1,9,"Italian","L1"
"533",897,209,"bugiarda",8,2,"Italian","L1"
"534",898,209,"stronzo",5,2,"Italian","L1"
"535",899,209,"cattivo",8,1,"Italian","L1"
"536",900,209,"demone",6,5,"Italian","L1"
"537",901,209,"riservata",2,8,"Italian","L1"
"538",902,209,"tesoro",2,7,"Italian","L1"
"539",903,209,"elegante",6,6,"Italian","L1"
"540",904,209,"indiscreta",7,2,"Italian","L1"
"541",905,209,"inaffidabile",7,2,"Italian","L1"
"542",906,209,"negativo",5,1,"Italian","L1"
"543",907,209,"saggia",4,6,"Italian","L1"
"544",908,209,"buono",2,7,"Italian","L1"
"545",909,209,"meschina",6,3,"Italian","L1"
"546",910,209,"positivo",2,8,"Italian","L1"
"547",963,6,"bugiarda",6,7,"Italian","L1"
"548",964,6,"cattivo",8,7,"Italian","L1"
