"","Participant","Word","likert_arousal","likert_valence","StudyLanguage","Nativeness"
"1",35,"pigra","3","4","Italian","L2"
"2",35,"tesoro","5","6","Italian","L2"
"3",35,"cattivo","2","2","Italian","L2"
"4",35,"demone","4","1","Italian","L2"
"5",35,"stronzo","5","1","Italian","L2"
"6",35,"osceno","4","3","Italian","L2"
"7",35,"saggia","2","6","Italian","L2"
"8",35,"crudele","4","2","Italian","L2"
"9",35,"gentile","2","7","Italian","L2"
"10",35,"riservata","4","5","Italian","L2"
"11",35,"buono","5","8","Italian","L2"
"12",35,"cauta","5","5","Italian","L2"
"13",35,"bugiarda","4","3","Italian","L2"
"14",35,"indiscreta","6","4","Italian","L2"
"15",35,"leale","5","6","Italian","L2"
"16",35,"elegante","6","8","Italian","L2"
"17",35,"inaffidabile","5","3","Italian","L2"
"18",35,"meschina","5","3","Italian","L2"
"19",35,"negativo","6","1","Italian","L2"
"20",35,"positivo","5","9","Italian","L2"
"21",35,"affidabile","6","7","Italian","L2"
"22",35,"sleale","4","2","Italian","L2"
"23",35,"paziente","1","6","Italian","L2"
"24",35,"santo","7","6","Italian","L2"
"25",35,"scortese","5","2","Italian","L2"
"26",35,"scrupolosa","5","4","Italian","L2"
"27",164,"tesoro","7","7","Italian","L2"
"28",164,"inaffidabile","3","2","Italian","L2"
"29",164,"meschina","6","8","Italian","L2"
"30",164,"crudele","3","2","Italian","L2"
"31",164,"sleale","3","3","Italian","L2"
"32",164,"affidabile","5","8","Italian","L2"
"33",164,"scortese","2","1","Italian","L2"
"34",164,"saggia","3","8","Italian","L2"
"35",164,"negativo","1","3","Italian","L2"
"36",164,"gentile","4","6","Italian","L2"
"37",164,"elegante","3","7","Italian","L2"
"38",164,"demone","3","3","Italian","L2"
"39",164,"buono","2","5","Italian","L2"
"40",164,"indiscreta","4","2","Italian","L2"
"41",164,"pigra","6","2","Italian","L2"
"42",164,"positivo","7","7","Italian","L2"
"43",164,"cattivo","3","3","Italian","L2"
"44",164,"stronzo","5","2","Italian","L2"
"45",164,"leale","5","7","Italian","L2"
"46",164,"riservata","2","5","Italian","L2"
"47",164,"scrupolosa","1","4","Italian","L2"
"48",164,"santo","3","6","Italian","L2"
"49",164,"paziente","1","7","Italian","L2"
"50",164,"osceno","5","2","Italian","L2"
"51",164,"cauta","1","5","Italian","L2"
"52",164,"bugiarda","5","1","Italian","L2"
"53",109,"riservata","1","9","Italian","L2"
"54",109,"stronzo","5","1","Italian","L2"
"55",109,"negativo","5","1","Italian","L2"
"56",109,"elegante","7","9","Italian","L2"
"57",109,"santo","1","9","Italian","L2"
"58",109,"demone","5","1","Italian","L2"
"59",109,"tesoro","9","9","Italian","L2"
"60",109,"crudele","5","1","Italian","L2"
"61",109,"sleale","5","1","Italian","L2"
"62",109,"cauta","5","5","Italian","L2"
"63",109,"positivo","9","9","Italian","L2"
"64",109,"cattivo","5","1","Italian","L2"
"65",109,"leale","9","9","Italian","L2"
"66",109,"scrupolosa","1","8","Italian","L2"
"67",109,"meschina","5","1","Italian","L2"
"68",109,"inaffidabile","5","1","Italian","L2"
"69",109,"affidabile","9","9","Italian","L2"
"70",109,"scortese","5","1","Italian","L2"
"71",109,"saggia","1","9","Italian","L2"
"72",109,"buono","9","9","Italian","L2"
"73",109,"indiscreta","5","5","Italian","L2"
"74",109,"paziente","1","9","Italian","L2"
"75",109,"gentile","1","9","Italian","L2"
"76",109,"bugiarda","5","1","Italian","L2"
"77",109,"pigra","5","1","Italian","L2"
"78",109,"osceno","5","1","Italian","L2"
"79",73,"saggia","3","7","Italian","L2"
"80",73,"osceno","8","3","Italian","L2"
"81",73,"leale","4","7","Italian","L2"
"82",73,"gentile","3","7","Italian","L2"
"83",73,"paziente","1","6","Italian","L2"
"84",73,"scortese","6","1","Italian","L2"
"85",73,"tesoro","5","9","Italian","L2"
"86",73,"negativo","5","1","Italian","L2"
"87",73,"buono","6","6","Italian","L2"
"88",73,"indiscreta","5","4","Italian","L2"
"89",73,"meschina","5","1","Italian","L2"
"90",73,"affidabile","5","9","Italian","L2"
"91",73,"positivo","8","9","Italian","L2"
"92",73,"sleale","5","1","Italian","L2"
"93",73,"inaffidabile","5","1","Italian","L2"
"94",73,"cattivo","5","1","Italian","L2"
"95",73,"santo","5","5","Italian","L2"
"96",73,"pigra","1","5","Italian","L2"
"97",73,"cauta","1","5","Italian","L2"
"98",73,"crudele","5","1","Italian","L2"
"99",73,"riservata","3","6","Italian","L2"
"100",73,"elegante","2","7","Italian","L2"
"101",73,"scrupolosa","5","5","Italian","L2"
"102",73,"demone","8","1","Italian","L2"
"103",73,"stronzo","5","5","Italian","L2"
"104",73,"bugiarda","5","1","Italian","L2"
