"","X","Participant","Label","SliderResponse","Number","TrialType","Valence","LexicalType","ContextCondition","Group","Name","StudyLanguage","Nativeness"
"61",102,130,"expletive_test",38,8,"test","pos","adj","AO","C","IAP8","Italian","L2"
"62",105,130,"expletive_test",88,7,"test","neg","pej","TO","C","IPN7","Italian","L2"
"63",106,130,"expletive_test",90,5,"test","pos","pej","AO","C","IPP5","Italian","L2"
"64",107,130,"expletive_test",76,8,"test","neg","adj","AO","C","IAN8","Italian","L2"
"65",109,130,"expletive_test",60,3,"test","neg","adj","NEU","C","IAN3","Italian","L2"
"66",110,130,"expletive_test",12,6,"test","neg","pej","NEU","C","IPN6","Italian","L2"
"67",112,130,"expletive_test",59,3,"test","pos","pej","NEU","C","IPP3","Italian","L2"
"68",113,130,"expletive_test",4,5,"test","neg","pej","AO","C","IPN5","Italian","L2"
"69",114,130,"expletive_test",64,7,"test","pos","adj","TO","C","IAP7","Italian","L2"
"70",115,130,"expletive_test",39,5,"test","pos","adj","AO","C","IAP5","Italian","L2"
"71",116,130,"expletive_test",16,2,"test","neg","adj","AO","C","IAN2","Italian","L2"
"72",120,130,"expletive_test",13,3,"test","neg","pej","NEU","C","IPN3","Italian","L2"
"73",123,85,"expletive_test",99,2,"test","pos","adj","AO","A","IAP2","Italian","L2"
"74",125,85,"expletive_test",99,2,"test","neg","pej","AO","A","IPN2","Italian","L2"
"75",127,85,"expletive_test",99,7,"test","neg","adj","TO","A","IAN7","Italian","L2"
"76",128,85,"expletive_test",0,9,"test","neg","adj","NEU","A","IAN9","Italian","L2"
"77",129,85,"expletive_test",0,6,"test","neg","pej","NEU","A","IPN6","Italian","L2"
"78",130,85,"expletive_test",99,2,"test","pos","pej","AO","A","IPP2","Italian","L2"
"79",131,85,"expletive_test",0,8,"test","pos","adj","AO","A","IAP8","Italian","L2"
"80",132,85,"expletive_test",99,5,"test","pos","adj","AO","A","IAP5","Italian","L2"
"81",135,85,"expletive_test",99,1,"test","neg","pej","TO","A","IPN1","Italian","L2"
"82",139,85,"expletive_test",99,8,"test","neg","adj","AO","A","IAN8","Italian","L2"
"83",140,85,"expletive_test",99,4,"test","pos","pej","TO","A","IPP4","Italian","L2"
"84",142,85,"expletive_test",99,5,"test","neg","adj","AO","A","IAN5","Italian","L2"
"85",143,85,"expletive_test",99,4,"test","neg","pej","TO","A","IPN4","Italian","L2"
"86",144,85,"expletive_test",99,1,"test","neg","adj","TO","A","IAN1","Italian","L2"
"87",145,85,"expletive_test",99,1,"test","pos","adj","TO","A","IAP1","Italian","L2"
"88",146,85,"expletive_test",99,5,"test","neg","pej","AO","A","IPN5","Italian","L2"
"89",147,85,"expletive_test",0,3,"test","pos","adj","NEU","A","IAP3","Italian","L2"
"90",149,85,"expletive_test",99,2,"test","neg","adj","AO","A","IAN2","Italian","L2"
"91",150,85,"expletive_test",99,7,"test","neg","pej","TO","A","IPN7","Italian","L2"
"92",152,85,"expletive_test",99,7,"test","pos","adj","TO","A","IAP7","Italian","L2"
"93",153,85,"expletive_test",0,6,"test","pos","adj","NEU","A","IAP6","Italian","L2"
"94",154,85,"expletive_test",99,5,"test","pos","pej","AO","A","IPP5","Italian","L2"
"95",156,85,"expletive_test",0,3,"test","neg","adj","NEU","A","IAN3","Italian","L2"
"96",159,85,"expletive_test",0,3,"test","pos","pej","NEU","A","IPP3","Italian","L2"
"97",162,85,"expletive_test",99,8,"test","pos","pej","AO","A","IPP8","Italian","L2"
"98",165,85,"expletive_test",0,9,"test","neg","pej","NEU","A","IPN9","Italian","L2"
"99",166,85,"expletive_test",0,6,"test","neg","adj","NEU","A","IAN6","Italian","L2"
"100",167,85,"expletive_test",0,9,"test","pos","adj","NEU","A","IAP9","Italian","L2"
"101",168,85,"expletive_test",0,6,"test","pos","pej","NEU","A","IPP6","Italian","L2"
"102",169,85,"expletive_test",0,3,"test","neg","pej","NEU","A","IPN3","Italian","L2"
"103",170,85,"expletive_test",99,4,"test","neg","adj","TO","A","IAN4","Italian","L2"
"104",173,85,"expletive_test",0,9,"test","pos","pej","NEU","A","IPP9","Italian","L2"
"105",174,85,"expletive_test",99,4,"test","pos","adj","TO","A","IAP4","Italian","L2"
"106",176,85,"expletive_test",99,7,"test","pos","pej","TO","A","IPP7","Italian","L2"
"107",179,85,"expletive_test",99,8,"test","neg","pej","AO","A","IPN8","Italian","L2"
"108",180,85,"expletive_test",99,1,"test","pos","pej","TO","A","IPP1","Italian","L2"
"109",182,57,"expletive_test",66,9,"test","neg","pej","NEU","C","IPN9","Italian","L2"
"110",183,57,"expletive_test",23,5,"test","neg","pej","AO","C","IPN5","Italian","L2"
"111",185,57,"expletive_test",61,9,"test","neg","adj","NEU","C","IAN9","Italian","L2"
"112",186,57,"expletive_test",66,6,"test","neg","adj","NEU","C","IAN6","Italian","L2"
"113",187,57,"expletive_test",33,6,"test","neg","pej","NEU","C","IPN6","Italian","L2"
"114",188,57,"expletive_test",36,2,"test","neg","adj","AO","C","IAN2","Italian","L2"
"115",189,57,"expletive_test",33,8,"test","neg","adj","AO","C","IAN8","Italian","L2"
"116",190,57,"expletive_test",28,1,"test","pos","pej","TO","C","IPP1","Italian","L2"
"117",193,57,"expletive_test",76,3,"test","neg","pej","NEU","C","IPN3","Italian","L2"
"118",194,57,"expletive_test",11,1,"test","pos","adj","TO","C","IAP1","Italian","L2"
"119",197,57,"expletive_test",0,8,"test","neg","pej","AO","C","IPN8","Italian","L2"
"120",199,57,"expletive_test",87,4,"test","pos","pej","TO","C","IPP4","Italian","L2"
"121",200,57,"expletive_test",79,6,"test","pos","pej","NEU","C","IPP6","Italian","L2"
"122",201,57,"expletive_test",19,7,"test","neg","adj","TO","C","IAN7","Italian","L2"
"123",202,57,"expletive_test",88,4,"test","pos","adj","TO","C","IAP4","Italian","L2"
"124",206,57,"expletive_test",39,3,"test","pos","adj","NEU","C","IAP3","Italian","L2"
"125",207,57,"expletive_test",79,8,"test","pos","pej","AO","C","IPP8","Italian","L2"
"126",208,57,"expletive_test",83,9,"test","pos","pej","NEU","C","IPP9","Italian","L2"
"127",210,57,"expletive_test",34,2,"test","pos","pej","AO","C","IPP2","Italian","L2"
"128",211,57,"expletive_test",84,1,"test","neg","adj","TO","C","IAN1","Italian","L2"
"129",213,57,"expletive_test",67,7,"test","pos","pej","TO","C","IPP7","Italian","L2"
"130",215,57,"expletive_test",10,4,"test","neg","adj","TO","C","IAN4","Italian","L2"
"131",216,57,"expletive_test",35,4,"test","neg","pej","TO","C","IPN4","Italian","L2"
"132",217,57,"expletive_test",30,3,"test","neg","adj","NEU","C","IAN3","Italian","L2"
"133",218,57,"expletive_test",21,9,"test","pos","adj","NEU","C","IAP9","Italian","L2"
"134",220,57,"expletive_test",31,5,"test","neg","adj","AO","C","IAN5","Italian","L2"
"135",224,57,"expletive_test",49,7,"test","neg","pej","TO","C","IPN7","Italian","L2"
"136",225,57,"expletive_test",54,3,"test","pos","pej","NEU","C","IPP3","Italian","L2"
"137",226,57,"expletive_test",24,2,"test","pos","adj","AO","C","IAP2","Italian","L2"
"138",228,57,"expletive_test",22,5,"test","pos","pej","AO","C","IPP5","Italian","L2"
"139",229,57,"expletive_test",34,6,"test","pos","adj","NEU","C","IAP6","Italian","L2"
"140",230,57,"expletive_test",39,5,"test","pos","adj","AO","C","IAP5","Italian","L2"
"141",231,57,"expletive_test",76,7,"test","pos","adj","TO","C","IAP7","Italian","L2"
"142",236,57,"expletive_test",72,2,"test","neg","pej","AO","C","IPN2","Italian","L2"
"143",239,57,"expletive_test",59,1,"test","neg","pej","TO","C","IPN1","Italian","L2"
"144",240,57,"expletive_test",35,8,"test","pos","adj","AO","C","IAP8","Italian","L2"
"145",301,135,"expletive_test",26,5,"test","neg","pej","AO","A","IPN5","Italian","L2"
"146",302,135,"expletive_test",19,9,"test","neg","pej","NEU","A","IPN9","Italian","L2"
"147",303,135,"expletive_test",40,4,"test","neg","pej","TO","A","IPN4","Italian","L2"
"148",306,135,"expletive_test",91,5,"test","pos","pej","AO","A","IPP5","Italian","L2"
"149",307,135,"expletive_test",37,2,"test","neg","pej","AO","A","IPN2","Italian","L2"
"150",309,135,"expletive_test",24,9,"test","pos","pej","NEU","A","IPP9","Italian","L2"
"151",312,135,"expletive_test",87,1,"test","pos","adj","TO","A","IAP1","Italian","L2"
"152",313,135,"expletive_test",88,1,"test","neg","adj","TO","A","IAN1","Italian","L2"
"153",315,135,"expletive_test",40,1,"test","neg","pej","TO","A","IPN1","Italian","L2"
"154",319,135,"expletive_test",94,4,"test","pos","adj","TO","A","IAP4","Italian","L2"
"155",320,135,"expletive_test",69,3,"test","pos","pej","NEU","A","IPP3","Italian","L2"
"156",321,135,"expletive_test",11,3,"test","neg","adj","NEU","A","IAN3","Italian","L2"
"157",323,135,"expletive_test",90,8,"test","pos","pej","AO","A","IPP8","Italian","L2"
"158",324,135,"expletive_test",7,9,"test","neg","adj","NEU","A","IAN9","Italian","L2"
"159",325,135,"expletive_test",16,8,"test","neg","pej","AO","A","IPN8","Italian","L2"
"160",326,135,"expletive_test",13,6,"test","neg","pej","NEU","A","IPN6","Italian","L2"
"161",327,135,"expletive_test",76,8,"test","pos","adj","AO","A","IAP8","Italian","L2"
"162",328,135,"expletive_test",75,6,"test","pos","adj","NEU","A","IAP6","Italian","L2"
"163",329,135,"expletive_test",84,2,"test","pos","pej","AO","A","IPP2","Italian","L2"
"164",330,135,"expletive_test",80,2,"test","pos","adj","AO","A","IAP2","Italian","L2"
"165",332,135,"expletive_test",95,5,"test","pos","adj","AO","A","IAP5","Italian","L2"
