"Participant","LQ_dominance_1","LQ_dominance_2","LQ_dominance_3","LQ_dominance_4","LQ_dominance_5","LQ_acquisition_1","LQ_acquisition_2","LQ_acquisition_3","LQ_acquisition_4","LQ_acquisition_5","LQ_exp_lang_1","LQ_exp_lang_2","LQ_exp_lang_3","LQ_exp_lang_4","LQ_exp_lang_5","LQ_pcibex_log_exp_pct_1","LQ_pcibex_log_exp_pct_2","LQ_pcibex_log_exp_pct_3","LQ_pcibex_log_exp_pct_4","LQ_pcibex_log_exp_pct_5","LQ_read_lang_1","LQ_read_lang_2","LQ_read_lang_3","LQ_read_lang_4","LQ_read_lang_5","LQ_pcibex_log_read_pct_1","LQ_pcibex_log_read_pct_2","LQ_pcibex_log_read_pct_3","LQ_pcibex_log_read_pct_4","LQ_pcibex_log_read_pct_5","LQ_speak_lang_1","LQ_speak_lang_2","LQ_speak_lang_3","LQ_speak_lang_4","LQ_speak_lang_5","LQ_pcibex_log_speak_pct_1","LQ_pcibex_log_speak_pct_2","LQ_pcibex_log_speak_pct_3","LQ_pcibex_log_speak_pct_4","LQ_pcibex_log_speak_pct_5","LQ_culture_1","LQ_pcibex_log_culture_rating_1","LQ_culture_2","LQ_pcibex_log_culture_rating_2","LQ_culture_3","LQ_pcibex_log_culture_rating_3","LQ_culture_4","LQ_pcibex_log_culture_rating_4","LQ_culture_5","LQ_pcibex_log_culture_rating_5","LQ_pcibex_log_formal_education_years","LQ_edu_other_text","LQ_current_residence_country","LQ_immigration_country_1","LQ_pcibex_log_immigration_time_1","LQ_immigration_country_2","LQ_pcibex_log_immigration_time_2","LQ_immigration_country_3","LQ_pcibex_log_immigration_time_3","LQ_pcibex_log_eng_age_began_acquiring","LQ_pcibex_log_eng_age_became_fluent","LQ_pcibex_log_eng_age_began_reading","LQ_pcibex_log_eng_age_became_fluent_reading","LQ_pcibex_log_eng_country_years","LQ_pcibex_log_eng_country_months","LQ_pcibex_log_eng_family_years","LQ_pcibex_log_eng_family_months","LQ_pcibex_log_eng_schoolwork_years","LQ_pcibex_log_eng_schoolwork_months","LQ_pcibex_log_eng_proficiency_speaking","LQ_pcibex_log_eng_proficiency_understanding","LQ_pcibex_log_eng_proficiency_reading","LQ_pcibex_log_eng_learning_friends","LQ_pcibex_log_eng_learning_self","LQ_pcibex_log_eng_learning_family","LQ_pcibex_log_eng_learning_tv","LQ_pcibex_log_eng_learning_reading","LQ_pcibex_log_eng_learning_radio","LQ_pcibex_log_eng_exposure_friends","LQ_pcibex_log_eng_exposure_radio_music","LQ_pcibex_log_eng_exposure_family","LQ_pcibex_log_eng_exposure_reading","LQ_pcibex_log_eng_exposure_tv","LQ_pcibex_log_eng_exposure_lab_self","LQ_pcibex_log_eng_foreign_accent","LQ_pcibex_log_eng_identified_non_native","LQ_pcibex_log_ita_age_began_acquiring","LQ_pcibex_log_ita_age_became_fluent","LQ_pcibex_log_ita_age_began_reading","LQ_pcibex_log_ita_age_became_fluent_reading","LQ_pcibex_log_ita_country_years","LQ_pcibex_log_ita_country_months","LQ_pcibex_log_ita_family_years","LQ_pcibex_log_ita_family_months","LQ_pcibex_log_ita_schoolwork_years","LQ_pcibex_log_ita_schoolwork_months","LQ_pcibex_log_ita_proficiency_speaking","LQ_pcibex_log_ita_proficiency_understanding","LQ_pcibex_log_ita_proficiency_reading","LQ_pcibex_log_ita_learning_friends","LQ_pcibex_log_ita_learning_self","LQ_pcibex_log_ita_learning_family","LQ_pcibex_log_ita_learning_tv","LQ_pcibex_log_ita_learning_reading","LQ_pcibex_log_ita_learning_radio","LQ_pcibex_log_ita_exposure_friends","LQ_pcibex_log_ita_exposure_radio_music","LQ_pcibex_log_ita_exposure_family","LQ_pcibex_log_ita_exposure_reading","LQ_pcibex_log_ita_exposure_tv","LQ_pcibex_log_ita_exposure_lab_self","LQ_pcibex_log_ita_foreign_accent","LQ_pcibex_log_ita_identified_non_native","LQ_disability_explanation","LQ_disability_options_vision","LQ_disability_options_hearing","LQ_disability_options_lang","LQ_disability_options_learn","LQ_disability_options","LQ_education_level"
155,"English","Italian","Spanish","","","English","Spanish","Italian","","","English","Italian","Spanish","","","80","5","15","","","English","Italian","Spanish","","","90","10","0","","","English","Italian","Spanish","","","90","5","5","","","Italian-American","7","German-American","2","Hungarian-American","5","","","","","16","","United States","Italy ","1","","","","","0","3","3","4","30","0","31","0","16","0","10","10","10","4","0","10","10","10","9","10","10","10","10","10","4","0","0","18","21","18","20","0","3","0","0","2","0","5","7","8","5","7","0","2","7","0","0","3","0","5","4","8","8","10","","unchecked","unchecked","unchecked","unchecked","checked","College"
24,"English","Italian","French","None","None","English","Italian","French"," None","None","English","Italian","French","None","None","75","15","10","0","0","English","Italian","French","None","None","100","0","0","0","0","English","Italian","French","None","None","90","10","0","0","0","Canadian","10","Italian","10","","","","","","","15","","Canada","","","","","","","1","1","3","3","20","6","20","0","18","0","10","10","10","4","1","10","8","8","7","10","9","9","10","9","10","1","0","5","10","5","10","0","3","20","0","8","0","8","9","9","1","0","10","6","8","1","2","2","10","5","6","0","5","5","","unchecked","unchecked","unchecked","unchecked","checked","Some College"
91,"English ","Italian ","French ","","","English ","Italian ","French","","","English ","Italian ","French ","Spanish ","","70","20","5","5","","English ","Italian ","French","Spanish ","","60","30","5","5","","English ","Italian","","","","95","5","","","","Italian ","8","","","","","","","","","15","","Canada","","","","","","","2","3","3","4","43","0","43","0","25","0","6","9","9","6","7","5","7","8","6","6","7","6","8","4","7","6","6","4","4","4","5","2","3","35","0","0","0","7","7","5","5","7","9","8","7","4","7","6","7","6","9","7","6","5","","unchecked","unchecked","unchecked","unchecked","checked","Masters"
151,"English","French","Italian","Spanish","","English","French","Italian","Spanish","","40","30","10","10","10","40","30","10","10","10","40","40","20","0","0","40","40","20","0","0","40","40","20","0","0","40","40","20","0","0","Jewish orth","10","Idk","9","Idk","9","Idk","9","Idk","8","4","","United kingdom","England ","21","","","","","3","3","4","5","21","7","21","7","21","7","8","8","9","8","9","8","8","9","8","7","7","8","8","8","9","7","9","5","5","8","9","5","0","5","0","5","0","3","3","2","10","6","7","8","7","6","8","6","7","6","8","8","7","5","No explain","unchecked","unchecked","unchecked","unchecked","checked","Some Graduate School"
32,"English","French","Italian","","","English","French ","Italian","","","English","French","Italian","","","60","10","30","","","English","French","Italian","","","80","10","10","","","English","French","Italian","","","50","40","10","","","Canadian","10","Italian","6","","","","","","","4","","Canada","USA","6","","","","","2","4","2","4","28","3","28","3","28","7","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0","8","27","8","18","0","0","14","4","0","0","7","9","5","0","8","10","8","0","6","0","5","10","7","6","4","10","6","","unchecked","unchecked","unchecked","unchecked","checked","College"
143,"Italian","English","French","","","Italin","English","French","","","Italian","English","French","","","10","90","0","","","Italian","English","French","","","18","81","1","","","Italian","English","French","","","30","70","0","","","Italian","6","American","4","","","","","","","15","","US","England","1","US","20","","","12","19","12","26","21","5","21","5","17","7","8","9","10","5","2","8","5","6","4","2","9","10","10","9","0","7","9","0","6","6","9","28","5","28","5","22","1","10","10","10","9","3","10","7","5","6","0","4","5","3","0","0","0","0","","unchecked","unchecked","unchecked","unchecked","checked","College"
133,"English","French","Italian ","Spanish","","English","Italian","French","Spanish","","English","French","Italian","Spanish","","80","10","7","3","","English","French","Italian","Spanish","","90","5","3","2","","English","French","Italian","Spanish","","90","5","3","2","","Italian Canadian","10","","","","","","","","","4","","Canada","","","","","","","0","4","4","6","28","2","28","2","24","2","10","10","10","10","0","10","1","5","1","10","10","10","10","10","0","0","0","0","12","12","13","0","0","28","2","5","3","3","8","4","0","3","10","1","1","1","0","0","2","0","0","1","8","8","","unchecked","unchecked","unchecked","unchecked","checked","Professional Training"
93,"English","German","Romonsch","Italian","French","Romonsch","German","French","Italian","English","English","Romonsch","German","","","90","6","4","","","English","German","","","","90","10","","","","English","Romonsch","German","","","80","10","10","","","Swiss Romanisch German","5","Irish English","8","","","","","","","15","","Ireland","Ireland","30","","","","","15","20","15","18","30","0","23","0","28","0","10","10","10","8","4","4","6","7","7","8","0","10","8","4","0","2","1","12","15","15","15","0","0","0","0","0","1","6","8","7","3","8","3","0","5","0","0","0","3","5","4","2","8","10","","unchecked","unchecked","unchecked","unchecked","checked","Some Graduate School"
4,"English","Italian","","","","English","Italian","","","","English","Italian","","","","60","40","","","","English","Italian","","","","60","40","","","","English","Italian","","","","60","40","","","","Sicilian Italian","8","US American","9","","","","","","","15","","United States","","","","","","","3","6","6","8","25","0","25","0","20","0","10","10","10","10","3","10","10","10","5","10","8","9","8","10","4","3","2","5","7","10","12","2","0","16","0","3","0","8","10","8","10","4","10","3","5","5","7","7","10","5","7","5","5","7","","unchecked","unchecked","unchecked","unchecked","checked","Some College"
202,"English","Italian","French","Arabic","","English","French","Italian","Arabic","","English","Italian","Arabic","French","","75","15","8","2","","English","Italian","Arabic","French","","70","15","5","10","","English","Italian","French","Arabic","","60","30","5","5","","British","8","","","","","","","","","21","","UK","EGYPT","2","ITALY","1","","","0","2","4","8","53","0","46","0","50","0","10","10","10","10","8","10","4","7","6","10","10","8","7","7","0","0","0","18","21","18","23","1","8","0","6","1","0","7","8","7","8","6","6","3","5","3","6","3","0","5","4","3","4","5","","unchecked","unchecked","unchecked","unchecked","checked","Masters"
213,"English","Italian","Spanish","","","English","Italian","Spanish","","","English","Italian","Spanish","","","60","30","10","","","English","Italian","Spanish","","","70","20","10","","","English","Italian","Spanish","","","50","50","0","","","Italian American","9","","","","","","","","","4","","USA","USA","37","","","","","2","4","4","5","37","11","37","11","37","11","10","10","10","10","0","10","10","10","10","10","10","10","10","10","10","0","1","19","36","19","36","0","0","37","11","3","0","7","8","7","8","6","4","4","7","5","8","5","3","5","4","5","3","3","","unchecked","unchecked","unchecked","unchecked","checked","College"
147,"english","french","italian","","","english","french","italian","","","english","french","italian","","","60","20","20","","","english","french","italian","","","80","10","10","","","english","french","italian","","","75","15","10","","","Italian Canadian","8","Quebec Canadian","2","","","","","","","3","","canada","","","","","","","1","4","3","4","27","0","27","0","15","0","10","10","10","9","0","10","9","9","4","10","10","10","10","10","0","4","2","1","10","8","10","27","0","27","0","5","0","5","8","8","5","0","10","1","4","3","8","0","9","1","1","0","5","2","","unchecked","unchecked","unchecked","unchecked","checked","Some College"
29,"Italain","English","","","","italian ","English","","","","Italian ","English","","","","50","50","","","","English","Italian","","","","50","50","","","","English","Italian","","","","50","50","","","","US-American","9","Italian","10","","","","","","","15","","United States of America","United States","25","","","","","1","18","7","18","24","9","26","1","24","9","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","3","1","1","1","5","10","32","4","57","1","13","3","10","10","10","10","10","10","10","10","10","8","8","10","8","6","10","0","0","","unchecked","unchecked","unchecked","unchecked","checked","Masters"
69,"English ","Italian ","Spanish","","","Italian","English","Spanish","","","English ","Italian","Spanish","","","75","20","5","","","English","Italian","Spanish","","","60","30","10","","","English","Italian","Spanish","","","38","37","25","","","Christian","10","British","9","Italian","7","Spanish","5","","","21","","United Kingdom","Colombia","1","","","","","8","14","10","14","10","9","8","1","10","9","10","10","10","10","4","8","4","7","1","10","10","10","10","10","0","6","4","1","1","4","5","13","11","24","6","13","10","10","10","10","10","0","10","9","3","3","2","4","10","1","1","0","0","0","","unchecked","unchecked","unchecked","unchecked","checked","Some Graduate School"
175,"English","Italian","","","","English","Italian","","","","English","Italian","","","","75","25","","","","English","Italian","","","","90","10","","","","English","Italian","","","","70","30","","","","US-American","7","Italian-American","9","","","","","","","8","","United States","","","","","","","0","0","3","4","23","1","23","1","17","0","10","10","10","9","6","10","9","10","6","10","10","10","10","10","10","1","2","10","16","16","17","0","6","0","6","0","6","8","9","7","7","7","10","9","7","5","6","8","9","8","8","5","6","4","","unchecked","unchecked","unchecked","unchecked","checked","College"
134,"english","italian","arabic","","","english ","arabic","italian","","","english","arabic","italian","","","70","15","15","","","english","italian","arabic","","","60","20","20","","","english","italian","arabic","","","40","30","30","","","british","4","moroccan","8","italian","6","","","","","10","","united Kingdom","","","","","","","9","12","10","12","10","6","10","6","10","6","8","9","8","8","6","3","9","7","0","8","7","6","10","8","7","1","0","4","6","4","6","9","4","17","8","9","5","5","5","5","6","3","8","7","4","0","0","6","8","3","4","2","4","5","","unchecked","unchecked","unchecked","unchecked","checked","Some College"
81,"English","French","Italian","Spanish","Arabic","English","French","Spanish","Italian","Arabic","English","French","Italian","Arabic","Spanish","82","12","3","2","1","English","French","Italian","Spanish","Arabic","80","10","5","3","2","English","French","Italian","Spanish","Arabic","60","30","5","3","2","European","10","","","","","","","","","18","","UK","France","10","Italy","2","","","0","2","3","5","50","0","50","0","50","0","10","10","10","4","0","10","4","6","5","10","10","10","10","10","0","0","0","15","20","15","20","2","0","2","0","2","0","8","8","8","8","8","3","3","4","5","1","1","1","1","1","1","2","2","","unchecked","unchecked","unchecked","unchecked","checked","Masters"
142,"English","Italian","","","","English","Italian","","","","English","Italian","","","","90","10","","","","English","Italian","","","","85","15","","","","English","Italian","","","","85","15","","","","British","8","English","7","Scots-Irish","2","Northern English","8","","","10","","United Kingdom","Italy","7","","","","","0","5","5","5","61","5","61","5","61","3","10","10","10","10","0","10","10","10","10","10","10","10","10","10","0","0","0","16","22","16","22","7","2","1","1","7","2","7","9","7","10","0","5","0","7","0","7","0","3","5","0","0","1","2","","unchecked","unchecked","unchecked","unchecked","checked","Ph.D./M.D./J.D."
67,"English","Italian","Polish","","","English","Polish","Italian","","","English","Italian","Polish","","","90","5","5","","","English","Italian","Polish","","","92","5","3","","","English","Italian","Polish","","","50","25","25","","","American","8","Polish","2","","","","","","","16","","United Kingdom","Italy","1","United Kingdom","9","","","1","10","10","10","33","0","0","0","33","0","10","10","10","10","0","0","10","10","10","10","10","0","10","10","0","0","0","18","21","18","21","1","3","0","0","4","0","8","9","9","10","7","0","5","9","8","8","5","0","5","4","4","5","7","","unchecked","unchecked","unchecked","unchecked","checked","College"
53,"English","Italian","Spanish","French","Yoruba","English","Yoruba","Italian","Spanish","French","English","Italian","Spanish","French","Yoruba","60","20","5","5","10","English","Italian","Spanish","French","Yoruba","60","30","5","5","0","English","Italian","Spanish","French","Yoruba","60","40","0","0","0","African","8","Italian","7","British","4","","","","","20","","England","Italy","11","","","","","0","2","4","6","15","0","26","0","15","0","10","10","10","10","0","10","10","8","2","10","10","8","10","10","0","7","0","8","9","8","4","11","0","19","0","11","0","8","10","10","10","3","2","10","10","0","4","1","4","7","0","1","7","3","","unchecked","unchecked","unchecked","unchecked","checked","College"
37,"Italian","English ","French ","Spanish","Korean","Italian ","English ","Spanish ","French","Korean ","Italian ","English ","French ","Spanish ","Korean","44","50","4","2","0","Italian ","English ","French","Spanish","Korean","50","50","0","0","0","Italian ","English ","Spanish ","French ","Korean ","50","50","0","0","0","African European","5","","","","","","","","","14","","England ","Italy","10","","","","","4","12","4","4","7","8","21","0","7","8","10","10","10","7","2","4","9","8","5","10","10","10","10","10","4","2","3","2","5","4","7","10","0","21","0","10","0","10","10","10","3","6","10","0","0","0","3","0","10","2","3","5","0","0","","unchecked","unchecked","unchecked","unchecked","checked","Some College"
120,"English","Italian","Spanish","","","English","Spanish","Italian","","","English","Spanish","Italian","","","90","5","5","","","English","","","","","100","","","","","English","Spanish","","","","90","10","","","","American","8","Peruvian","8","","","","","","","24","","USA","","","","","","","0","3","6","4","32","0","32","0","26","0","10","10","10","10","0","10","0","10","0","10","10","10","10","10","0","0","10","18","21","18","21","0","3","0","0","4","0","7","8","8","6","0","0","4","6","0","3","0","0","0","0","0","5","9","","unchecked","unchecked","unchecked","unchecked","checked","Masters"
44,"Italian","English","Neapolitan ","Norwegian","Romanian","Italian","English","Neapolitan","Norwegian","Romanian","Italian","English","Neapolitan ","Norwegian ","Romanian","40","45","10","1","4","Italian","English","Neapolitan","Norwegian","Romanian","40","40","10","5","5","Italian","English","Neapolitan ","Norwegian ","Romanian","50","40","5","4","1","Italian ","10","Neapolitan","8","English","7","Norwegian","2","Romanian","2","19","","United kingdom ","Italy","15","Norway ","7","","","1","5","4","5","14","6","36","3","12","8","10","10","10","10","2","10","7","8","6","10","9","10","10","8","2","5","7","1","5","4","5","15","5","36","3","5","5","10","10","10","10","1","10","8","8","6","10","5","10","8","6","1","4","3","Colourblindness","unchecked","unchecked","unchecked","unchecked","checked","Professional Training"
105,"English","Italian ","Bengali","","","Italian","Bengali","English ","","","English","Bengali","Italian ","","","60","30","10","","","Italian ","English","Bengali","","","20","80","0","","","English","Italian","Bengali","","","80","10","10","","","Italian","4","English","7","Bengali","3","","","","","18","","UK","Italy","12","","","","","8","14","7","14","13","11","0","0","13","11","10","10","10","10","0","0","10","10","0","10","10","0","8","10","0","3","2","1","6","6","7","11","3","11","3","11","3","6","8","9","10","0","10","10","10","0","1","0","0","2","1","0","0","0","","unchecked","unchecked","unchecked","unchecked","checked","Masters"
128,"English ","Italian","French","","","English","Italian ","French ","","","English","Italian","French","","","80","15","5","","","English","Italian","French ","","","80","15","5","","","English","Italian","French","","","75","20","5","","","Canadian ","10","","","","","","","","","2","","Canada ","","","","","","","2","2","2","2","24","0","24","0","24","0","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","2","4","10","10","10","10","2","0","2","0","2","0","10","7","9","10","10","10","10","10","10","10","10","10","10","10","10","8","8","","unchecked","unchecked","unchecked","unchecked","checked","College"
160,"English","French","Italian","","","English","French","Italian","","","English","French","Italian","","","90","8","2","","","English","French","Italian","","","100","0","0","","","English","French","Italian","","","90","3","7","","","Italo-Canadian","10","Canadian","8","Italian","8","","","","","20","","Canada","","","","","","","5","10","6","10","43","5","43","5","38","5","10","10","10","8","1","10","9","9","5","10","10","10","10","10","1","1","0","2","5","7","10","0","0","43","5","4","0","3","2","6","5","3","10","2","4","3","5","2","9","3","2","2","3","4","","unchecked","unchecked","unchecked","unchecked","checked","College"
66,"italian","english","thai","","","italian","english","thai","","","english","italian","thai","","","80","15","5","","","english","italian","thai","","","90","10","0","","","english","italian","thai","","","90","5","5","","","british","4","italian","7","","","","","","","16","","United Kingdom","United Kingdom","29","","","","","15","21","15","21","30","0","30","0","30","0","8","9","10","6","3","6","8","10","9","10","10","10","9","7","2","7","8","1","8","6","10","19","0","19","0","13","0","6","10","9","10","0","10","10","10","8","1","5","2","2","6","0","4","2","","unchecked","unchecked","unchecked","unchecked","checked","College"
118,"English","Italian","Spanish","","","Italian","English","Spanish","","","Italian","English","Spanish","","","20","78","2","","","English","Italian","Spanish","","","100","0","0","","","English","Italian","Spanish","","","55","43","2","","","American","8","Italian","3","Catholic","9","Italian-American","3","","","0","","United States","","","","","","","5","6","7","12","24","0","0","0","21","0","10","10","10","8","0","0","4","0","2","10","10","4","10","10","0","0","0","1","3","12","15","0","0","24","0","0","0","7","7","5","0","4","10","1","2","0","0","0","10","1","0","5","5","6","I have been diaganosed with dyslexia in the United States","unchecked","unchecked","unchecked","checked","checked","College"
49,"English","Italian ","","","","English ","Italian","","","","English","Italian","","","","80","20","","","","English","Italian","","","","50","50","","","","English ","Italian","","","","60","40","","","","Italian","10","American","4","","","","","","","17","","United States of America ","","","","","","","0","3","4","6","26","0","26","0","26","0","10","10","10","10","0","10","5","5","2","10","7","10","9","9","1","0","0","3","20","20","20","0","2","26","0","0","0","9","10","9","8","2","10","10","7","1","7","9","10","6","10","7","1","1","","unchecked","unchecked","unchecked","unchecked","checked","Some Graduate School"
144,"English ","Twi ","Ewe","Italian ","French","Ewe","Twi","English","Italian","French","English ","Twi ","Ewe","Italian ","French","50","10","20","10","10","English ","Ewe ","Twi","Italian ","French","60","10","10","10","10","English","Twi","Ewe","Italian","French","75","5","10","5","5","EWE West Africa","10","Akan","3","US American","0","Italian ","0","French","0","20","","Canada","Canada","4","","","","","5","10","7","10","20","11","20","11","20","11","7","8","8","7","5","5","7","9","2","5","2","5","9","5","5","5","5","19","21","20","22","1","3","0","3","0","0","5","5","5","1","7","1","1","5","0","1","0","0","9","1","9","1","1","","unchecked","unchecked","unchecked","checked","checked","Some College"
127,"English","French","Italian","","","English ","French ","Italian","","","English","French","Italian","","","60","25","15","","","English","French","Italian","","","30","40","30","","","English","French","Italian","","","30","40","30","","","US-American","8","FR-French","7","It-Italian","4","","","","","24","","United States","","","","","","","5","14","4","14","50","0","50","0","50","0","10","10","10","10","5","10","10","10","3","10","10","10","7","9","5","10","0","40","50","40","48","0","0","0","0","10","0","9","9","10","10","8","0","8","10","4","10","8","0","5","3","10","4","5","","unchecked","unchecked","unchecked","unchecked","checked","Ph.D./M.D./J.D."
20,"English","Italian","French","","","English ","Italian","French","","","English","Italian","French","","","95","4","1","","","English ","Italian","French","","","85","15","0","","","English","Italian","French","","","60","40","0","","","US-American","10","Scottish","6","","","","","","","16","","United States of America ","","","","","","","1","5","3","7","20","11","20","11","20","11","10","10","10","7","5","9","9","10","7","10","6","10","10","10","6","0","0","11","19","18","19","0","1","20","11","0","0","3","6","7","1","8","10","2","7","2","0","7","9","5","0","10","5","8","Nearsighted in one eye and farsighted in the other. I need glasses. ","checked","unchecked","unchecked","unchecked","checked","Some College"
188,"English ","Italian ","Irish ","","","English ","Italian ","Irish ","","","English","Italian","Irish","","","80","19","1","","","English","Italian","Irish","","","85","15","0","","","English ","Italian ","Irish ","","","60","40","0","","","Irish","10","","","","","","","","","14","","Ireland","","","","","","","1","2","5","8","17","0","18","1","14","0","10","10","10","10","10","10","2","7","0","10","5","10","10","10","10","0","0","13","17","15","17","1","0","0","0","1","0","10","10","9","10","10","0","9","9","8","9","10","0","7","5","5","2","2","","unchecked","unchecked","unchecked","unchecked","checked","High School"
148,"ENGLISH","FRENCH","","","","HINDI ","GUJARATI ","MARATHI ","ENGLISH ","FRENCH","ENGLISH","GUJARTI ","HINDI","MARATHI ","FRENCH","60","10","10","10","10","ENGLISH","HINDI","GUJARATI ","MARATHI","FRENCH","70","10","10","10","0","ENGLISH","GUJARATI ","HINDI","MARATHI ","FRENCH","60","20","10","8","2","INDIAN","10","BRITISH","8","","","","","","","19","","UNITED KINGDOM","UNITED KINGDOM","3","INDIA","25","","","3","8","5","4","26","0","3","0","12","0","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","10","","unchecked","unchecked","unchecked","unchecked","checked","College"
184,"English","Italian","","","","English","Italian","","","","English","Italian","","","","90","10","","","","English","Italian","","","","95","5","","","","English","Italian","","","","95","5","","","","Canadian","8","","","","","","","","","16","","Canada","","","","","","","0","3","5","7","43","0","43","0","43","0","10","10","10","8","3","9","6","9","4","9","7","8","9","6","2","0","0","18","22","20","23","2","0","0","0","0","0","7","8","7","6","8","3","5","7","2","4","3","2","4","3","5","6","5","","unchecked","unchecked","unchecked","unchecked","checked","College"
8,"English ","French","","","","English","French","","","","English ","French","","","","70","30","","","","English","French","","","","80","20","","","","English","French","","","","60","40","","","","Black African ","10","Canadian ","10","","","","","","","20","","Canada","","","","","","","4","4","4","10","25","8","25","8","21","8","10","10","9","10","9","10","10","10","10","10","10","10","10","10","10","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","10","","unchecked","unchecked","unchecked","unchecked","checked","Masters"
158,"english","romanian","spanish","french","italian","romanian","english","spanish","french","italian","english","romanian","spanish","french","italian","80","10","10","0","0","english","romanian","spanish","french","italian","20","80","0","0","0","english","romanian","spanish","french","italian","80","20","0","0","0","romanian","8","spanish","6","english","1","","","","","20","","UK","The Netherlands","2","Romania","23","","","5","23","6","23","10","0","0","0","10","0","10","10","10","10","6","0","8","7","0","7","8","0","9","9","6","3","4","17","30","17","30","0","0","0","0","0","0","10","10","10","0","8","0","8","8","0","0","8","0","9","8","8","7","10","","unchecked","unchecked","unchecked","unchecked","checked","Professional Training"
75,"english","","","","","English","","","","","English","","","","","100","","","","","English","","","","","100","","","","","English","","","","","100","","","","","US-Ameican","8","","","","","","","","","10","","Canada","","","","","","","1","2","3","3","20","0","20","0","20","0","10","10","10","10","9","10","10","10","10","10","10","10","10","10","10","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","unchecked","unchecked","unchecked","unchecked","checked","Some Graduate School"
169,"English","Italian","Urdu","","","English","Urdu","Italian","","","English","Urdu","Italian","","","70","15","15","","","English","Urdu","Italian","","","100","0","0","","","English","Urdu ","Italian","","","100","0","0","","","Canadian","9","Pakistani","5","Italian","3","","","","","20","","Canada","United Kingdom","3","Italy","4","","","3","3","3","0","24","4","24","0","20","0","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0","12","13","12","13","3","0","4","0","4","0","6","6","5","10","5","0","6","6","9","0","0","0","0","0","0","10","10","","unchecked","unchecked","unchecked","unchecked","checked","Ph.D./M.D./J.D."
3,"English","","","","","english","","","","","english","","","","","100","","","","","english","","","","","100","","","","","english","","","","","100","","","","","english","10","","","","","","","","","19","","uk","London","63","","","","","3","3","3","3","63","6","35","0","16","0","10","10","10","10","10","10","10","10","10","10","9","10","10","9","10","0","0","35","37","37","37","0","0","0","0","0","0","5","5","5","3","4","3","4","5","5","4","2","5","5","5","4","5","5","","unchecked","unchecked","unchecked","unchecked","checked","Masters"
89,"English","Welsh","Italian","","","English","Welsh","Italian","","","English","Welsh","Italian","","","70","20","10","","","English","Welsh","Italian","","","70","20","10","","","English","Welsh","Italian","","","80","10","10","","","British","10","","","","","","","","","16","","UK","UK","24","","","","","4","10","8","10","24","4","24","4","24","4","10","10","10","6","8","10","9","10","10","8","9","7","10","8","9","1","7","12","14","12","13","0","0","0","0","0","0","3","6","3","2","5","5","2","4","4","2","5","1","1","5","3","8","7","","unchecked","unchecked","unchecked","unchecked","checked","Some Graduate School"
41,"English","French","german","igbo","arabic","igbo ","english","french","arabic ","german","igbo","english","french","arabic","german","20","30","30","10","10","igbo","english","french","arabic","german","20","30","30","10","10","igbo","english","french","arabic","german","20","30","30","10","10","black african","9","","","","","","","","","9","","canada","canada","4","","","","","5","2","5","5","2","2","4","1","3","1","9","9","10","8","2","4","3","4","4","6","6","6","6","6","2","8","9","4","5","4","3","5","0","3","0","2","2","7","6","4","5","5","5","5","5","5","5","5","5","5","5","5","6","6","","unchecked","unchecked","unchecked","unchecked","checked","Masters"
112,"English","Swedish","Spanish","Italian","","English","Spanish","Swedish","Italian","","English","Spanish","Swedish","Italian","","90","3","5","2","","English","Spanish","Swedish","Italian","","95","5","0","0","","English","Swedish","Spanish","Italian","","90","5","3","2","","British","10","","","","","","","","","16","","N/A","","","","","","","1","5","5","6","20","6","20","6","20","6","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0","18","0","18","0","0","0","0","0","0","0","2","4","5","0","10","0","8","9","0","0","0","0","3","8","7","8","10","","unchecked","unchecked","unchecked","unchecked","checked","College"
115,"English ","Igbo ","French","Spanish ","Italian ","English ","Igbo ","French ","Spanish ","Italian ","English ","Igbo","French ","Spanish","Italian","50","20","15","10","5","English ","French ","Italy ","Igbo ","Spanish ","50","20","5","10","15","English ","Igbo ","Italian","French ","Spanish ","50","20","15","10","5","Traditional ","4","Christian ","1","American ","2","Jewish ","3","Presbytery ","5","15","","United Kingdom ","Spain","1","Italy ","3","","","2","4","5","5","20","6","20","5","20","4","10","10","10","10","8","7","10","8","10","10","9","9","10","10","6","6","2","24","24","24","24","3","6","3","5","3","4","5","10","2","10","7","9","6","5","10","10","9","7","6","8","8","10","10","","unchecked","unchecked","unchecked","unchecked","checked","College"
