"Participant","LQ_dominance_1","LQ_dominance_2","LQ_dominance_3","LQ_dominance_4","LQ_dominance_5","LQ_acquisition_1","LQ_acquisition_2","LQ_acquisition_3","LQ_acquisition_4","LQ_acquisition_5","LQ_exp_lang_1","LQ_exp_lang_2","LQ_exp_lang_3","LQ_exp_lang_4","LQ_exp_lang_5","LQ_pcibex_log_exp_pct_1","LQ_pcibex_log_exp_pct_2","LQ_pcibex_log_exp_pct_3","LQ_pcibex_log_exp_pct_4","LQ_pcibex_log_exp_pct_5","LQ_read_lang_1","LQ_read_lang_2","LQ_read_lang_3","LQ_read_lang_4","LQ_read_lang_5","LQ_pcibex_log_read_pct_1","LQ_pcibex_log_read_pct_2","LQ_pcibex_log_read_pct_3","LQ_pcibex_log_read_pct_4","LQ_pcibex_log_read_pct_5","LQ_speak_lang_1","LQ_speak_lang_2","LQ_speak_lang_3","LQ_speak_lang_4","LQ_speak_lang_5","LQ_pcibex_log_speak_pct_1","LQ_pcibex_log_speak_pct_2","LQ_pcibex_log_speak_pct_3","LQ_pcibex_log_speak_pct_4","LQ_pcibex_log_speak_pct_5","LQ_culture_1","LQ_pcibex_log_culture_rating_1","LQ_culture_2","LQ_pcibex_log_culture_rating_2","LQ_culture_3","LQ_pcibex_log_culture_rating_3","LQ_culture_4","LQ_pcibex_log_culture_rating_4","LQ_culture_5","LQ_pcibex_log_culture_rating_5","LQ_pcibex_log_formal_education_years","LQ_edu_other_text","LQ_current_residence_country","LQ_immigration_country_1","LQ_pcibex_log_immigration_time_1","LQ_immigration_country_2","LQ_pcibex_log_immigration_time_2","LQ_immigration_country_3","LQ_pcibex_log_immigration_time_3","LQ_pcibex_log_eng_age_began_acquiring","LQ_pcibex_log_eng_age_became_fluent","LQ_pcibex_log_eng_age_began_reading","LQ_pcibex_log_eng_age_became_fluent_reading","LQ_pcibex_log_eng_country_years","LQ_pcibex_log_eng_country_months","LQ_pcibex_log_eng_family_years","LQ_pcibex_log_eng_family_months","LQ_pcibex_log_eng_schoolwork_years","LQ_pcibex_log_eng_schoolwork_months","LQ_pcibex_log_eng_proficiency_speaking","LQ_pcibex_log_eng_proficiency_understanding","LQ_pcibex_log_eng_proficiency_reading","LQ_pcibex_log_eng_learning_friends","LQ_pcibex_log_eng_learning_self","LQ_pcibex_log_eng_learning_family","LQ_pcibex_log_eng_learning_tv","LQ_pcibex_log_eng_learning_reading","LQ_pcibex_log_eng_learning_radio","LQ_pcibex_log_eng_exposure_friends","LQ_pcibex_log_eng_exposure_radio_music","LQ_pcibex_log_eng_exposure_family","LQ_pcibex_log_eng_exposure_reading","LQ_pcibex_log_eng_exposure_tv","LQ_pcibex_log_eng_exposure_lab_self","LQ_pcibex_log_eng_foreign_accent","LQ_pcibex_log_eng_identified_non_native","LQ_pcibex_log_ita_age_began_acquiring","LQ_pcibex_log_ita_age_became_fluent","LQ_pcibex_log_ita_age_began_reading","LQ_pcibex_log_ita_age_became_fluent_reading","LQ_pcibex_log_ita_country_years","LQ_pcibex_log_ita_country_months","LQ_pcibex_log_ita_family_years","LQ_pcibex_log_ita_family_months","LQ_pcibex_log_ita_schoolwork_years","LQ_pcibex_log_ita_schoolwork_months","LQ_pcibex_log_ita_proficiency_speaking","LQ_pcibex_log_ita_proficiency_understanding","LQ_pcibex_log_ita_proficiency_reading","LQ_pcibex_log_ita_learning_friends","LQ_pcibex_log_ita_learning_self","LQ_pcibex_log_ita_learning_family","LQ_pcibex_log_ita_learning_tv","LQ_pcibex_log_ita_learning_reading","LQ_pcibex_log_ita_learning_radio","LQ_pcibex_log_ita_exposure_friends","LQ_pcibex_log_ita_exposure_radio_music","LQ_pcibex_log_ita_exposure_family","LQ_pcibex_log_ita_exposure_reading","LQ_pcibex_log_ita_exposure_tv","LQ_pcibex_log_ita_exposure_lab_self","LQ_pcibex_log_ita_foreign_accent","LQ_pcibex_log_ita_identified_non_native","LQ_disability_explanation","LQ_disability_options_vision","LQ_disability_options_hearing","LQ_disability_options_lang","LQ_disability_options_learn","LQ_disability_options","LQ_education_level"
80,"Italiano","Inglese ","Francese","","","Italiano","Inglese","Francese","","","Italiano","Inglese ","Francese ","","","30","60","10","","","Italiano","Inglese","Francese","","","30","70","0","","","Italiano","Inglese","Francese","","","50","40","10","","","Italian","10","Canadian","9","","","","","","","14","","Canada","","","","","","","2","5","4","5","15","0","19","0","14","0","10","10","10","8","2","10","7","8","4","10","8","5","6","9","0","1","0","0","1","2","3","2","0","20","0","1","0","8","9","7","10","2","10","5","3","4","1","3","10","5","3","0","3","3","","unchecked","unchecked","unchecked","unchecked","checked","High School"
197,"English","Italian ","Hindi","","","English ","Italian ","Hindi","","","English","Italian","Hindi","","","60","30","10","","","English ","Italian ","Hindi","","","60","40","0","","","English ","Italian ","Hindi","","","50","50","0","","","Catholic Orthodox","10","Indian","10","","","","","","","17","","United Kingdom ","India ","1","","","","","3","6","4","6","33","0","33","0","33","0","10","10","10","10","1","10","5","10","5","10","1","10","10","10","0","5","4","12","15","15","15","1","0","1","0","1","0","6","6","6","5","5","2","6","4","0","5","0","4","6","4","1","5","5","","unchecked","unchecked","unchecked","unchecked","checked","Masters"
203,"English","Italian","","","","English","Italian","","","","English","Italian","","","","80","20","","","","English","Italian","","","","80","20","","","","English","Italian","","","","80","20","","","","African","7","Canadian","8","","","","","","","6","","Canada","Canada","8","","","","","1","13","4","16","26","0","42","0","32","0","9","9","9","7","10","9","8","8","10","10","10","10","10","10","10","5","2","40","0","40","0","0","0","1","0","0","0","6","6","8","5","8","5","9","9","10","3","9","4","8","9","10","3","4","","unchecked","unchecked","unchecked","unchecked","checked","Masters"
47,"english","italian","french","","","english","french","italian","","","english","italian","french","","","45","45","10","","","english","italian","french","","","50","50","0","","","english","italian","french","","","45","45","10","","","British English","10","Western European","5","","","","","","","17","","Canada","Italy","10","Canada","1","","","0","5","5","7","43","0","53","11","43","0","10","10","10","10","0","10","7","9","5","8","6","10","6","8","0","0","0","18","50","45","48","10","0","0","0","0","0","8","8","9","8","8","0","5","9","8","4","8","0","8","4","9","8","8","","unchecked","unchecked","unchecked","unchecked","checked","College"
56,"English","Italian","","","","English","Italian","","","","English","Italian","","","","75","25","","","","English","Italian","","","","90","10","","","","English","Italian","","","","70","30","","","","American","10","Italian","9","","","","","","","24","","United States","","","","","","","0","2","4","2","29","0","29","0","29","0","10","10","10","9","9","9","10","10","10","10","10","9","9","10","10","0","0","0","2","4","2","6","2","6","2","6","2","10","9","9","9","8","8","8","9","8","8","8","8","8","9","8","2","3","","unchecked","unchecked","unchecked","unchecked","checked","College"
58,"English ","Italian","Farsi","Arabic","","English/Italian","Arabic","Farsi","","","English","Italian","Farsi","Arabic","","60","20","10","10","","English ","Italian","","","","50","50","","","","English","Italian","Farsi","Arabic","","40","40","10","10","","None","10","","","","","","","","","30","","United Kingdom ","Italy","27","","","","","2","15","5","15","40","0","4","0","13","0","10","10","10","10","7","2","10","10","4","10","10","5","10","10","10","5","10","2","5","5","5","27","0","20","0","27","0","10","10","10","10","10","10","10","10","10","2","3","3","5","7","2","0","0","","unchecked","unchecked","unchecked","unchecked","checked","Ph.D./M.D./J.D."
189,"English","Italian ","French","","","English","French ","Italian","","","English","French","Italian ","","","80","15","5","","","English","French ","Italian","","","96","1","3","","","English","Italian","French","","","70","20","10","","","Canadian","10","Ukrainian","2","","","","","","","21","","Canada","n/A","0","","","","","1","1","4","7","28","5","28","5","10","5","10","10","10","3","0","10","5","9","0","10","10","10","10","10","10","0","0","18","22","18","25","0","4","0","0","4","0","6","8","8","0","7","0","7","4","0","0","7","0","2","3","8","5","9","I have a genetic eye condition which renders me legally blind; I require corrective lenses in order to see","checked","unchecked","unchecked","unchecked","checked","Masters"
159,"Albanian ","English ","Italian ","Greek ","","Albanian ","Italiasn","Greek","English","","English ","Albanian","Italian  ","Greek","","75","15","10","0","","English","Albanian","italian","greek","","80","15","5","0","","Albanian","","","","","100","","","","","Albania","10","Italian ","7","Greek","5","American","5","","","10","","USA","Greece ","5","Italy ","7","","","10","18","11","15","14","0","14","0","8","0","10","10","10","10","7","2","10","10","8","10","10","5","10","10","10","6","8","12","15","13","20","7","0","7","0","3","0","8","10","9","10","8","7","10","9","10","0","10","2","7","7","0","3","8","","unchecked","unchecked","unchecked","unchecked","checked","College"
121,"English","French","Italian","Hungarian","","English","French","Italian","Hungarian","","English","Italian","French","Hungarian","","70","10","10","10","","English","Italian","French","Hungarian","","75","10","10","5","","English","French","Italian","Hungarian","","15","40","40","5","","European","10","","","","","","","","","22","","united kingdom","","","","","","","0","2","3","3","18","0","18","0","18","0","10","10","10","10","10","10","10","10","8","10","10","10","10","10","5","2","3","18","18","18","18","1","0","0","2","0","3","9","9","7","10","10","10","10","10","10","10","10","2","10","2","10","6","7","","unchecked","unchecked","unchecked","unchecked","checked","College"
131,"Italian","English","","","","Italian","English","","","","Italian","English","","","","40","60","","","","Italian","English","","","","50","50","","","","Italian","English ","","","","60","40","","","","Italian","9","English","7","","","","","","","15","","England","","","","","","","6","11","10","11","5","5","5","5","5","0","9","8","10","8","8","6","9","9","0","10","9","6","10","8","10","5","6","2","5","4","5","15","6","15","6","12","0","10","10","10","10","9","9","10","10","0","3","4","8","4","7","2","0","1","","unchecked","unchecked","unchecked","unchecked","checked","College"
