"","X","Participant","Label","SliderResponse","Number","TrialType","Valence","LexicalType","ContextCondition","Group","Name","StudyLanguage","Nativeness"
"61",61,130,"expletive_test",78,4,"test","neg","pej","TO","C","IPN4","Italian","L1"
"62",62,130,"expletive_test",81,1,"test","neg","pej","TO","C","IPN1","Italian","L1"
"63",63,130,"expletive_test",83,1,"test","pos","pej","TO","C","IPP1","Italian","L1"
"64",64,130,"expletive_test",58,4,"filler","neg","adj","TO","C","INF4","Italian","L1"
"65",65,130,"expletive_test",85,16,"filler","pos","adj","TO","C","INF16","Italian","L1"
"66",66,130,"expletive_test",71,18,"filler","pos","adj","TO","C","INF18","Italian","L1"
"67",67,130,"expletive_test",74,1,"test","neg","adj","TO","C","IAN1","Italian","L1"
"68",68,130,"expletive_test",74,2,"test","pos","pej","AO","C","IPP2","Italian","L1"
"69",69,130,"expletive_test",86,7,"test","pos","pej","TO","C","IPP7","Italian","L1"
"70",70,130,"expletive_test",85,1,"test","pos","adj","TO","C","IAP1","Italian","L1"
"71",71,130,"expletive_test",80,17,"filler","pos","adj","TO","C","INF17","Italian","L1"
"72",72,130,"expletive_test",17,6,"test","neg","adj","NEU","C","IAN6","Italian","L1"
"73",73,130,"expletive_test",33,24,"filler","pos","adj","AO","C","INF24","Italian","L1"
"74",74,130,"expletive_test",70,4,"test","pos","adj","TO","C","IAP4","Italian","L1"
"75",75,130,"expletive_test",58,4,"test","neg","adj","TO","C","IAN4","Italian","L1"
"76",76,130,"expletive_test",33,5,"test","neg","adj","AO","C","IAN5","Italian","L1"
"77",77,130,"expletive_test",72,8,"test","pos","pej","AO","C","IPP8","Italian","L1"
"78",78,130,"expletive_test",64,10,"filler","neg","adj","AO","C","INF10","Italian","L1"
"79",79,130,"expletive_test",85,1,"filler","neg","adj","TO","C","ITN1","Italian","L1"
"80",80,130,"expletive_test",71,9,"test","pos","adj","NEU","C","IAP9","Italian","L1"
"81",81,130,"expletive_test",24,6,"test","pos","adj","NEU","C","IAP6","Italian","L1"
"82",82,130,"expletive_test",32,9,"test","neg","pej","NEU","C","IPN9","Italian","L1"
"83",83,130,"expletive_test",65,2,"test","neg","pej","AO","C","IPN2","Italian","L1"
"84",84,130,"expletive_test",88,8,"filler","neg","adj","AO","C","INF8","Italian","L1"
"85",85,130,"expletive_test",34,7,"filler","neg","adj","AO","C","INF7","Italian","L1"
