"","Participant","Word","likert_arousal","likert_valence","StudyLanguage","Nativeness"
"142",272,"stronzo","9","1","Italian","L2"
"143",272,"meschina","5","2","Italian","L2"
"144",272,"pigra","5","5","Italian","L2"
"145",272,"cattivo","7","1","Italian","L2"
"146",272,"riservata","5","5","Italian","L2"
"147",272,"santo","1","9","Italian","L2"
"148",272,"affidabile","2","8","Italian","L2"
"149",272,"paziente","1","9","Italian","L2"
"150",272,"sleale","7","2","Italian","L2"
"151",272,"negativo","5","1","Italian","L2"
"152",272,"gentile","1","9","Italian","L2"
"153",272,"osceno","4","3","Italian","L2"
"154",272,"scrupolosa","3","7","Italian","L2"
"155",272,"saggia","4","6","Italian","L2"
"156",272,"buono","2","8","Italian","L2"
"157",49,"paziente","2","7","Italian","L2"
"158",49,"santo","5","4","Italian","L2"
"159",49,"demone","8","3","Italian","L2"
"160",49,"scortese","7","4","Italian","L2"
"161",49,"buono","6","9","Italian","L2"
"162",49,"meschina","5","5","Italian","L2"
"163",49,"osceno","7","5","Italian","L2"
"164",49,"affidabile","2","9","Italian","L2"
"165",49,"stronzo","9","4","Italian","L2"
"166",49,"positivo","4","9","Italian","L2"
"167",49,"elegante","5","7","Italian","L2"
"168",49,"gentile","1","9","Italian","L2"
"169",49,"leale","6","9","Italian","L2"
"170",49,"cauta","7","7","Italian","L2"
"171",49,"tesoro","6","8","Italian","L2"
"172",49,"bugiarda","9","1","Italian","L2"
"173",49,"crudele","8","2","Italian","L2"
"174",49,"sleale","9","1","Italian","L2"
"175",49,"pigra","4","5","Italian","L2"
"176",49,"cattivo","7","4","Italian","L2"
"177",49,"inaffidabile","6","2","Italian","L2"
"178",49,"riservata","4","6","Italian","L2"
"179",49,"indiscreta","5","5","Italian","L2"
"180",49,"saggia","2","8","Italian","L2"
"181",49,"negativo","7","4","Italian","L2"
"182",49,"scrupolosa","7","2","Italian","L2"
"183",106,"osceno","5","4","Italian","L2"
"184",106,"tesoro","5","8","Italian","L2"
"185",106,"scortese","4","2","Italian","L2"
"186",106,"gentile","5","9","Italian","L2"
"187",106,"negativo","4","2","Italian","L2"
"188",106,"affidabile","4","8","Italian","L2"
"189",106,"saggia","6","8","Italian","L2"
"190",106,"elegante","7","8","Italian","L2"
"191",106,"leale","4","8","Italian","L2"
"192",106,"meschina","2","2","Italian","L2"
"193",106,"scrupolosa","2","9","Italian","L2"
"194",106,"inaffidabile","2","1","Italian","L2"
"195",106,"buono","4","8","Italian","L2"
"196",106,"paziente","5","8","Italian","L2"
"197",106,"demone","3","1","Italian","L2"
"198",106,"bugiarda","2","1","Italian","L2"
"199",106,"riservata","1","8","Italian","L2"
"200",106,"pigra","2","2","Italian","L2"
"201",106,"stronzo","2","1","Italian","L2"
"202",106,"cattivo","4","1","Italian","L2"
"203",106,"crudele","2","1","Italian","L2"
"204",106,"positivo","3","9","Italian","L2"
"205",106,"sleale","3","1","Italian","L2"
"206",106,"indiscreta","2","1","Italian","L2"
"207",106,"cauta","3","9","Italian","L2"
"208",106,"santo","2","6","Italian","L2"
"209",125,"cattivo","2","3","Italian","L2"
"210",125,"negativo","2","3","Italian","L2"
"211",125,"indiscreta","1","5","Italian","L2"
"212",125,"affidabile","1","8","Italian","L2"
"213",125,"demone","2","4","Italian","L2"
"214",125,"leale","1","8","Italian","L2"
"215",125,"gentile","1","9","Italian","L2"
