"","Participant","Word","likert_arousal","likert_valence","Language"
"165",49,"stronzo","9","4","Italian"
"166",49,"positivo","4","9","Italian"
"167",49,"elegante","5","7","Italian"
"168",49,"gentile","1","9","Italian"
"169",49,"leale","6","9","Italian"
"170",49,"cauta","7","7","Italian"
"171",49,"tesoro","6","8","Italian"
"172",49,"bugiarda","9","1","Italian"
"173",49,"crudele","8","2","Italian"
"174",49,"sleale","9","1","Italian"
"175",49,"pigra","4","5","Italian"
"176",49,"cattivo","7","4","Italian"
"177",49,"inaffidabile","6","2","Italian"
"178",49,"riservata","4","6","Italian"
"179",49,"indiscreta","5","5","Italian"
"180",49,"saggia","2","8","Italian"
"181",49,"negativo","7","4","Italian"
"182",49,"scrupolosa","7","2","Italian"
"183",106,"osceno","5","4","Italian"
"184",106,"tesoro","5","8","Italian"
"185",106,"scortese","4","2","Italian"
"186",106,"gentile","5","9","Italian"
"187",106,"negativo","4","2","Italian"
"188",106,"affidabile","4","8","Italian"
"189",106,"saggia","6","8","Italian"
"190",106,"elegante","7","8","Italian"
"191",106,"leale","4","8","Italian"
"192",106,"meschina","2","2","Italian"
"193",106,"scrupolosa","2","9","Italian"
"194",106,"inaffidabile","2","1","Italian"
"195",106,"buono","4","8","Italian"
"196",106,"paziente","5","8","Italian"
"197",106,"demone","3","1","Italian"
"198",106,"bugiarda","2","1","Italian"
"199",106,"riservata","1","8","Italian"
"200",106,"pigra","2","2","Italian"
"201",106,"stronzo","2","1","Italian"
"202",106,"cattivo","4","1","Italian"
"203",106,"crudele","2","1","Italian"
"204",106,"positivo","3","9","Italian"
"205",106,"sleale","3","1","Italian"
"206",106,"indiscreta","2","1","Italian"
"207",106,"cauta","3","9","Italian"
"208",106,"santo","2","6","Italian"
"209",125,"cattivo","2","3","Italian"
"210",125,"negativo","2","3","Italian"
"211",125,"indiscreta","1","5","Italian"
"212",125,"affidabile","1","8","Italian"
"213",125,"demone","2","4","Italian"
"214",125,"leale","1","8","Italian"
"215",125,"gentile","1","9","Italian"
"216",125,"elegante","1","6","Italian"
"217",125,"crudele","2","4","Italian"
"218",125,"osceno","2","3","Italian"
"219",125,"stronzo","1","2","Italian"
"220",125,"scortese","1","3","Italian"
"221",125,"santo","1","7","Italian"
"222",125,"inaffidabile","2","3","Italian"
"223",125,"scrupolosa","1","6","Italian"
"224",125,"sleale","1","3","Italian"
"225",125,"paziente","1","8","Italian"
"226",125,"positivo","1","7","Italian"
"227",125,"buono","1","8","Italian"
"228",125,"meschina","1","2","Italian"
"229",125,"pigra","1","3","Italian"
"230",125,"riservata","1","5","Italian"
"231",125,"bugiarda","2","2","Italian"
"232",125,"saggia","1","8","Italian"
"233",125,"tesoro","1","8","Italian"
"234",125,"cauta","1","7","Italian"
"235",185,"riservata","3","4","Italian"
"236",185,"indiscreta","4","3","Italian"
"237",185,"tesoro","2","8","Italian"
"238",185,"santo","1","6","Italian"
"239",185,"meschina","6","3","Italian"
"240",185,"stronzo","6","1","Italian"
"241",185,"bugiarda","4","2","Italian"
"242",185,"scortese","8","2","Italian"
"243",185,"demone","5","1","Italian"
"244",185,"affidabile","2","8","Italian"
"245",185,"pigra","4","5","Italian"
"246",185,"osceno","6","3","Italian"
"247",185,"paziente","4","7","Italian"
"248",185,"leale","2","8","Italian"
"249",185,"elegante","5","5","Italian"
"250",185,"cauta","3","6","Italian"
"251",185,"crudele","6","2","Italian"
"252",185,"saggia","2","6","Italian"
"253",185,"scrupolosa","3","5","Italian"
"254",185,"cattivo","4","1","Italian"
"255",185,"negativo","4","2","Italian"
"256",185,"buono","3","7","Italian"
